timestamp,power_w
1781978436,34
1781978437,34
1781978438,39
1781978439,37
1781978440,37
1781978441,37
1781978443,37
1781978444,37
1781978445,37
1781978446,37
1781978447,37
1781978448,37
1781978449,37
1781978450,37
1781978451,37
1781978452,37
1781978453,37
1781978454,36
1781978455,37
1781978456,37
1781978457,37
1781978458,37
1781978459,37
1781978460,36
1781978461,36
1781978462,36
1781978463,36
1781978464,36
1781978465,36
1781978466,37
1781978467,36
1781978468,36
1781978469,36
1781978470,37
1781978471,37
1781978472,37
1781978473,36
1781978474,37
1781978475,37
1781978476,37
1781978477,37
1781978478,37
1781978479,36
1781978480,36
1781978481,36
1781978482,37
1781978483,38
1781978484,38
1781978485,72
1781978486,71
1781978487,71
1781978488,73
1781978489,74
1781978490,74
1781978491,72
1781978492,72
1781978493,72
1781978494,72
1781978495,72
1781978496,72
1781978497,72
1781978498,71
1781978499,71
1781978500,73
1781978501,62
1781978502,71
1781978503,71
1781978504,70
1781978505,71
1781978506,71
1781978507,71
1781978508,72
1781978509,72
1781978510,72
1781978511,72
1781978512,72
1781978513,73
1781978515,72
1781978516,72
1781978517,70
1781978518,72
1781978519,72
1781978520,70
1781978521,70
1781978522,70
1781978523,71
1781978524,70
1781978525,70
1781978526,72
1781978527,70
1781978528,70
1781978529,71
1781978530,71
1781978531,71
1781978532,71
1781978533,71
1781978534,71
1781978535,71
1781978536,71
1781978537,71
1781978538,71
1781978539,72
1781978540,72
1781978541,67
1781978542,70
1781978543,70
1781978544,70
1781978545,70
1781978546,71
1781978547,71
1781978548,72
1781978549,71
1781978550,71
1781978551,71
1781978552,72
1781978553,72
1781978554,72
1781978555,71
1781978556,71
1781978557,70
1781978558,68
1781978559,68
1781978560,70
1781978561,71
1781978562,71
1781978563,70
1781978564,70
1781978565,70
1781978566,71
1781978567,72
1781978568,72
1781978569,72
1781978570,72
1781978571,72
1781978572,71
1781978573,71
1781978574,71
1781978575,71
1781978576,71
1781978577,71
1781978578,71
1781978579,71
1781978580,71
1781978581,70
1781978582,70
1781978583,65
1781978584,65
1781978585,71
1781978586,71
1781978587,71
1781978588,70
1781978589,70
1781978590,70
1781978591,71
1781978593,73
1781978594,73
1781978595,71
1781978596,70
1781978597,70
1781978598,71
1781978599,71
1781978600,71
1781978601,70
1781978602,71
1781978603,71
1781978604,70
1781978605,66
1781978606,66
1781978607,71
1781978608,71
1781978609,71
1781978610,72
1781978611,71
1781978612,71
1781978613,70
1781978614,71
1781978615,71
1781978616,70
1781978617,70
1781978618,70
1781978619,71
1781978620,70
1781978621,70
1781978622,70
1781978623,70
1781978624,70
1781978625,70
1781978626,71
1781978627,70
1781978628,70
1781978629,70
1781978630,70
1781978631,70
1781978632,71
1781978633,70
1781978634,70
1781978635,70
1781978636,71
1781978637,71
1781978638,72
1781978639,70
1781978640,70
1781978641,70
1781978642,70
1781978643,70
1781978644,73
1781978645,70
1781978646,70
1781978647,70
1781978648,71
1781978649,71
1781978650,71
1781978651,70
1781978652,70
1781978653,70
1781978654,72
1781978655,72
1781978656,70
1781978657,72
1781978658,72
1781978659,71
1781978660,71
1781978661,71
1781978662,72
1781978663,70
1781978664,70
1781978665,70
1781978666,70
1781978667,71
1781978668,71
1781978669,70
1781978671,72
1781978672,72
1781978673,71
1781978674,70
1781978675,70
1781978676,69
1781978677,66
1781978678,66
1781978679,72
1781978680,73
1781978681,73
1781978682,72
1781978683,71
1781978684,71
1781978685,72
1781978686,71
1781978687,71
1781978688,72
1781978689,72
1781978690,72
1781978691,72
1781978692,70
1781978693,70
1781978694,70
1781978695,65
1781978696,65
1781978697,72
1781978698,70
1781978699,70
1781978700,70
1781978701,71
1781978702,71
1781978703,71
1781978704,71
1781978705,70
1781978706,70
1781978707,70
1781978708,71
1781978709,71
1781978710,70
1781978711,71
1781978712,71
1781978713,65
1781978714,71
1781978715,71
1781978716,72
1781978717,72
1781978718,72
1781978719,71
1781978720,72
1781978721,72
1781978722,72
1781978723,72
1781978724,72
1781978725,72
1781978726,66
1781978727,66
1781978728,72
1781978729,72
1781978730,72
1781978731,72
1781978732,73
1781978733,73
1781978734,71
1781978735,72
1781978736,72
1781978737,73
1781978738,70
1781978739,70
1781978740,71
1781978741,71
1781978742,71
1781978743,71
1781978744,71
1781978745,71
1781978746,71
1781978747,71
1781978748,71
1781978750,71
1781978751,70
1781978752,72
1781978753,72
1781978754,70
1781978755,70
1781978756,70
1781978757,71
1781978758,70
1781978759,70
1781978760,72
1781978761,72
1781978762,72
1781978763,70
1781978764,70
1781978765,70
1781978766,71
1781978767,70
1781978768,70
1781978769,70
1781978770,71
1781978771,71
1781978772,70
1781978773,70
1781978774,70
1781978775,71
1781978776,70
1781978777,70
1781978778,71
1781978779,71
1781978780,71
1781978781,70
1781978782,72
1781978783,72
1781978784,67
1781978785,72
1781978786,72
1781978787,71
1781978788,71
1781978789,71
1781978790,71
1781978791,71
1781978792,71
1781978793,71
1781978794,70
1781978795,70
1781978796,70
1781978797,70
1781978798,70
1781978799,70
1781978800,65
1781978801,71
1781978802,71
1781978803,73
1781978804,71
1781978805,71
1781978806,72
1781978807,71
1781978808,71
1781978809,71
1781978810,70
1781978811,70
1781978812,70
1781978813,69
1781978814,69
1781978815,70
1781978816,65
1781978817,65
1781978818,71
1781978819,72
1781978820,72
1781978821,71
1781978822,72
1781978823,72
1781978824,71
1781978825,72
1781978826,72
1781978828,72
1781978829,71
1781978830,71
1781978831,71
1781978832,72
1781978833,72
1781978834,72
1781978835,72
1781978836,71
1781978837,71
1781978838,71
1781978839,70
1781978840,70
1781978841,71
1781978842,70
1781978843,70
1781978844,71
