timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1783536360,deepseek-v2:lite,28.0,1409,39.83,20.25,.502085,16.489155
1783536383,deepseek-v2:lite,31.0,11062,346.00,19.83,.057803,20.211851
1783536404,deepseek-v2:lite,31.0,11073,375.19,19.35,.053305,26.095104
1783536431,deepseek-v2:lite,32.0,11073,366.92,19.15,.054507,26.412042
1783536457,deepseek-v2:lite,32.0,11050,384.31,20.03,.052041,10.880504
1783536469,deepseek-v2:lite,32.0,11057,402.83,19.80,.049648,21.106110
1783536490,deepseek-v2:lite,32.0,11055,418.61,19.66,.047776,19.577796
1783536510,deepseek-v2:lite,32.0,11051,399.55,19.64,.050055,18.119292
1783536528,deepseek-v2:lite,29.0,11066,365.08,19.65,.054781,18.929874
1783536548,deepseek-v2:lite,32.0,11071,420.89,19.72,.047517,17.900458
1783536566,deepseek-v2:lite,32.0,11061,459.24,19.66,.043550,22.526760
1783536589,deepseek-v2:lite,32.0,11058,375.31,20.10,.053289,26.708500
1783536616,deepseek-v2:lite,32.0,11076,381.75,19.62,.052390,23.136867
1783536639,deepseek-v2:lite,30.0,11077,395.80,19.74,.050529,20.261909
1783536660,deepseek-v2:lite,32.0,11060,396.09,19.90,.050493,15.979630
1783536676,deepseek-v2:lite,32.0,11065,506.80,19.38,.039462,27.296073
1783536704,deepseek-v2:lite,32.0,11064,396.84,19.57,.050397,21.561354
1783536726,deepseek-v2:lite,32.0,11059,381.00,19.54,.052492,24.153343
1783536751,deepseek-v2:lite,32.0,11061,402.40,19.57,.049701,22.376228
1783536773,deepseek-v2:lite,29.0,11061,396.50,19.67,.050440,21.341973
1783536795,deepseek-v2:lite,29.0,11068,412.52,19.90,.048481,15.074318
1783536810,deepseek-v2:lite,33.0,11079,380.90,19.81,.052506,23.314165
1783536834,deepseek-v2:lite,33.0,11066,395.18,19.58,.050609,29.971409
1783536864,deepseek-v2:lite,32.0,11080,407.18,19.23,.049118,28.336592
1783536893,deepseek-v2:lite,32.0,11071,394.40,19.77,.050708,24.879860
1783536918,deepseek-v2:lite,32.0,11072,405.36,20.53,.049338,15.974944
1783536935,deepseek-v2:lite,32.0,11080,466.11,18.94,.042908,39.320862
