timestamp,power_w
1783362820,39
1783362821,37
1783362822,37
1783362823,39
1783362824,41
1783362826,41
1783362827,49
1783362828,65
1783362829,65
1783362830,68
1783362831,68
1783362832,67
1783362833,67
1783362834,66
1783362835,67
1783362836,67
1783362837,67
1783362838,67
1783362839,67
1783362840,66
1783362841,67
1783362842,67
1783362843,67
1783362844,68
1783362845,68
1783362846,66
1783362847,65
1783362848,65
1783362849,67
1783362850,67
1783362851,67
1783362852,66
1783362853,67
1783362854,67
1783362855,66
1783362856,68
1783362857,68
1783362858,66
1783362859,67
1783362860,67
1783362861,67
1783362862,67
1783362863,67
1783362864,65
1783362865,66
1783362866,66
1783362867,67
1783362868,66
1783362869,66
1783362870,65
1783362871,66
1783362872,66
1783362873,66
1783362874,66
1783362875,66
1783362876,66
1783362877,67
1783362878,67
1783362879,67
1783362880,66
1783362881,65
1783362882,65
1783362883,66
1783362884,67
1783362885,67
1783362886,66
1783362887,65
1783362888,65
1783362889,65
1783362890,66
1783362891,66
1783362892,67
1783362893,63
1783362894,63
1783362895,67
1783362896,67
1783362897,67
1783362898,67
1783362899,66
1783362900,66
1783362901,67
1783362902,66
1783362904,66
1783362905,65
1783362906,67
1783362907,67
1783362908,67
1783362909,66
1783362910,66
1783362911,66
1783362912,66
1783362913,67
1783362914,67
1783362915,66
1783362916,65
1783362917,65
1783362918,66
1783362919,67
1783362920,67
1783362921,66
1783362922,65
1783362923,65
1783362924,67
1783362925,66
1783362926,66
1783362927,66
1783362928,67
1783362929,67
1783362930,66
1783362931,67
1783362932,67
1783362933,66
1783362934,66
1783362935,66
1783362936,67
1783362937,67
1783362938,67
1783362939,65
1783362940,65
1783362941,65
1783362942,65
1783362943,65
1783362944,65
1783362945,65
1783362946,65
1783362947,65
1783362948,65
1783362949,65
1783362950,65
1783362951,65
1783362952,65
1783362953,64
1783362954,64
1783362955,65
1783362956,65
1783362957,65
1783362958,65
1783362959,65
1783362960,65
1783362961,65
1783362962,64
1783362963,64
1783362964,66
1783362965,66
1783362966,66
1783362967,65
1783362968,66
1783362969,66
1783362970,66
1783362971,67
1783362972,67
1783362973,67
1783362974,65
1783362975,65
1783362976,66
1783362977,65
1783362978,65
1783362979,66
1783362980,66
1783362981,66
1783362983,65
1783362984,66
1783362985,66
1783362986,65
1783362987,67
1783362988,67
1783362989,66
1783362990,66
1783362991,66
1783362992,66
1783362993,66
1783362994,66
1783362995,65
1783362996,65
1783362997,67
1783362998,67
1783362999,65
1783363000,67
1783363001,67
1783363002,66
1783363003,65
1783363004,65
1783363005,65
1783363006,65
1783363007,65
1783363008,66
1783363009,66
1783363010,66
1783363011,65
1783363012,66
1783363013,66
1783363014,66
1783363015,65
1783363016,65
1783363017,65
1783363018,66
1783363019,66
1783363020,64
1783363021,65
1783363022,65
1783363023,66
1783363024,66
