timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1783951634,phi3:mini,26.0,1068,33.28,17.99,.781030,23.280742
1783951671,phi3:mini,29.0,4787,443.36,17.74,.058642,25.807042
1783951697,phi3:mini,32.0,4784,476.34,17.23,.054582,35.963881
1783951733,phi3:mini,32.0,4785,486.12,17.54,.053484,30.497797
1783951764,phi3:mini,34.0,4778,462.72,17.79,.056189,27.372802
1783951792,phi3:mini,33.0,4791,466.66,18.27,.055713,16.471013
1783951808,phi3:mini,33.0,4790,457.53,17.72,.056826,21.717601
1783951830,phi3:mini,30.0,4798,524.89,8.50,.049533,1449.522085
1783953281,phi3:mini,28.0,4792,43.49,9.95,.597812,420.262790
1783953703,phi3:mini,29.0,4794,42.01,8.63,.618874,1229.460457
1783954934,phi3:mini,31.0,4841,44.19,18.41,.588318,12.707540
1783954947,phi3:mini,29.0,4840,446.69,18.08,.058204,20.956769
1783954969,phi3:mini,30.0,4809,541.55,20.74,.048010,.819280
1783954970,phi3:mini,30.0,4802,476.96,17.47,.054511,31.992492
1783955002,phi3:mini,30.0,4811,495.75,18.46,.052444,17.381568
1783955019,phi3:mini,32.0,4806,454.66,20.73,.057184,.819835
1783955020,phi3:mini,32.0,4807,471.13,19.16,.055186,4.695230
1783955025,phi3:mini,34.0,4791,470.11,20.09,.055305,.845992
1783955026,phi3:mini,33.0,4793,422.64,18.21,.061517,17.845010
1783955044,phi3:mini,34.0,4800,487.29,20.50,.053355,.829092
1783955045,phi3:mini,34.0,4798,492.66,20.90,.052774,.813347
1783955046,phi3:mini,33.0,4797,437.76,19.32,.059392,3.052645
1783955049,phi3:mini,34.0,4788,530.11,17.87,.049045,24.002777
1783955074,phi3:mini,33.0,4787,471.51,18.12,.055141,18.318421
1783955092,phi3:mini,33.0,4793,499.02,20.05,.052101,1.346583
1783955094,phi3:mini,34.0,4793,459.29,16.44,.056608,53.497789
1783955147,phi3:mini,32.0,4775,480.23,17.42,.054140,28.584117
1783955176,phi3:mini,33.0,4781,533.89,20.22,.048698,1.038363
1783955177,phi3:mini,33.0,4782,527.76,17.39,.049264,37.661125
1783955215,phi3:mini,34.0,4800,478.91,18.43,.054289,19.579704
1783955235,phi3:mini,34.0,4790,481.73,17.46,.053971,32.416544
1783955268,phi3:mini,32.0,4800,483.44,20.64,.053780,.823601
