timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1784298045,deepseek-v2:lite,28.0,1434,44.31,21.78,.451361,19.419030
1784298070,deepseek-v2:lite,32.0,11089,433.92,21.98,.046091,15.829951
1784298086,deepseek-v2:lite,32.0,11087,460.75,21.93,.043406,19.743917
1784298106,deepseek-v2:lite,33.0,11093,423.23,21.19,.047255,28.588201
1784298135,deepseek-v2:lite,34.0,11079,399.60,21.71,.050049,23.533557
1784298159,deepseek-v2:lite,34.0,11087,440.94,21.82,.045357,18.097886
1784298178,deepseek-v2:lite,34.0,11096,447.27,21.55,.044715,21.669764
1784298200,deepseek-v2:lite,33.0,11089,415.67,21.59,.048114,22.740303
1784298223,deepseek-v2:lite,34.0,11091,401.29,21.72,.049838,19.473030
1784298243,deepseek-v2:lite,33.0,11093,416.59,21.74,.048008,22.162036
1784298265,deepseek-v2:lite,33.0,11101,415.68,21.45,.048112,20.319500
1784298286,deepseek-v2:lite,33.0,11101,451.04,21.56,.044341,23.237338
1784298309,deepseek-v2:lite,34.0,11108,412.30,21.41,.048508,21.943327
1784298332,deepseek-v2:lite,34.0,11106,449.04,21.91,.044538,15.743010
1784298348,deepseek-v2:lite,33.0,11099,426.26,21.69,.046918,17.699501
1784298366,deepseek-v2:lite,34.0,11100,413.46,21.60,.048371,20.272187
1784298386,deepseek-v2:lite,33.0,11103,437.24,22.00,.045741,16.269020
1784298403,deepseek-v2:lite,34.0,11089,405.51,22.05,.049320,13.196198
1784298416,deepseek-v2:lite,34.0,11105,429.76,22.19,.046536,19.236116
1784298436,deepseek-v2:lite,34.0,11100,403.90,21.54,.049516,22.135544
1784298458,deepseek-v2:lite,34.0,11095,452.12,21.68,.044235,22.600005
1784298481,deepseek-v2:lite,34.0,11098,449.96,21.04,.044448,27.415747
1784298509,deepseek-v2:lite,34.0,11103,410.37,21.46,.048736,27.301298
1784298537,deepseek-v2:lite,31.0,11106,417.52,21.27,.047900,25.006063
1784298562,deepseek-v2:lite,33.0,11104,387.13,21.21,.051661,25.642354
1784298588,deepseek-v2:lite,34.0,11108,418.93,21.39,.047740,23.463549
1784298612,deepseek-v2:lite,33.0,11098,416.10,21.12,.048064,24.143119
1784298636,deepseek-v2:lite,33.0,11102,429.92,21.91,.046519,17.799456
