timestamp,power_w
1783777542,31
1783777543,34
1783777544,39
1783777545,39
1783777546,36
1783777547,56
1783777548,56
1783777549,66
1783777550,65
1783777551,65
1783777552,64
1783777553,53
1783777554,60
1783777555,60
1783777556,64
1783777557,64
1783777558,64
1783777559,64
1783777560,63
1783777561,63
1783777562,64
1783777563,64
1783777564,64
1783777565,64
1783777566,63
1783777567,63
1783777568,64
1783777569,62
1783777570,62
1783777571,64
1783777572,64
1783777573,64
1783777574,65
1783777575,60
1783777576,60
1783777577,64
1783777578,64
1783777579,64
1783777580,60
1783777581,64
1783777582,64
1783777583,63
1783777584,64
1783777585,64
1783777586,61
1783777587,63
1783777588,63
1783777589,64
1783777590,65
1783777591,65
1783777592,64
1783777593,64
1783777594,64
1783777595,64
1783777596,59
1783777597,59
1783777598,64
1783777599,64
1783777600,63
1783777601,63
1783777602,60
1783777603,64
1783777604,64
1783777605,66
1783777606,63
1783777607,63
1783777608,59
1783777609,63
1783777610,63
1783777611,65
1783777612,65
1783777613,65
1783777614,65
1783777615,64
1783777616,64
1783777617,64
1783777618,65
1783777619,65
1783777621,65
1783777622,63
1783777623,63
1783777624,64
1783777625,58
1783777626,58
1783777627,65
1783777628,64
1783777629,64
1783777630,59
1783777631,60
1783777632,60
1783777633,64
1783777634,65
1783777635,65
1783777636,63
1783777637,63
1783777638,63
1783777639,63
1783777640,64
1783777641,64
1783777642,61
1783777643,63
1783777644,64
1783777645,64
1783777646,64
1783777647,64
1783777648,64
1783777649,65
1783777650,63
1783777651,63
1783777652,60
1783777653,66
1783777654,66
1783777655,65
1783777656,65
1783777657,65
1783777658,60
1783777659,66
1783777660,66
1783777661,65
1783777662,65
1783777663,65
1783777664,58
1783777665,66
1783777666,66
1783777667,66
1783777668,58
1783777669,58
1783777670,65
1783777671,64
1783777672,64
1783777673,63
1783777674,65
1783777675,65
1783777676,63
1783777677,63
1783777678,63
1783777679,63
1783777680,65
1783777681,65
1783777682,63
1783777683,58
1783777684,58
1783777685,63
1783777686,60
1783777687,64
1783777688,64
1783777689,64
1783777690,63
1783777691,63
1783777692,63
1783777693,62
1783777694,62
1783777695,64
1783777696,64
1783777697,64
1783777698,64
1783777699,65
1783777700,65
1783777701,59
1783777702,65
1783777703,65
1783777705,65
1783777706,66
1783777707,66
1783777708,65
1783777709,66
1783777710,66
1783777711,65
1783777712,65
1783777713,65
1783777714,64
1783777715,65
1783777716,65
1783777717,65
1783777718,61
1783777719,61
1783777720,64
1783777721,63
1783777722,63
1783777723,60
1783777724,64
1783777725,64
1783777726,64
1783777727,63
1783777728,63
1783777729,63
1783777730,65
1783777731,65
1783777732,64
1783777733,64
1783777734,64
1783777735,64
1783777736,59
1783777737,63
1783777738,63
1783777739,66
1783777740,59
1783777741,59
1783777742,65
1783777743,64
1783777744,64
1783777745,65
1783777746,58
1783777747,58
1783777748,64
1783777749,65
1783777750,65
1783777751,60
1783777752,66
1783777753,66
1783777754,66
1783777755,65
1783777756,65
1783777757,59
1783777758,65
1783777759,65
1783777760,64
1783777761,65
1783777762,65
1783777763,65
1783777764,66
1783777765,66
1783777766,66
1783777767,66
1783777768,66
1783777769,65
1783777770,66
1783777771,66
1783777772,65
1783777773,64
1783777774,64
1783777775,58
1783777776,65
1783777777,65
1783777778,65
1783777779,63
1783777780,61
1783777781,61
1783777782,63
1783777783,65
1783777784,65
1783777785,64
1783777786,63
1783777787,63
1783777788,64
1783777789,63
1783777791,63
1783777792,63
1783777793,65
1783777794,65
1783777795,65
1783777796,58
1783777797,58
1783777798,64
1783777799,64
1783777800,64
1783777801,65
1783777802,64
1783777803,64
1783777804,63
1783777805,64
1783777806,64
1783777807,62
1783777808,59
1783777809,59
1783777810,65
1783777811,64
1783777812,64
1783777813,63
1783777814,63
1783777815,63
1783777816,58
1783777817,64
1783777818,64
1783777819,65
1783777820,64
1783777821,63
1783777822,63
1783777823,60
1783777824,64
1783777825,64
1783777826,63
1783777827,64
1783777828,64
1783777829,59
1783777830,63
1783777831,63
1783777832,65
1783777833,59
1783777834,59
1783777835,65
1783777836,66
1783777837,66
1783777838,59
1783777839,65
1783777840,65
1783777841,65
1783777842,60
1783777843,60
1783777844,64
1783777845,64
1783777846,64
1783777847,63
1783777848,63
1783777849,63
1783777850,58
1783777851,64
1783777852,64
1783777853,64
1783777854,64
1783777855,64
1783777856,63
1783777857,63
1783777858,63
1783777859,60
1783777860,65
1783777861,65
1783777862,63
1783777863,60
1783777864,60
1783777865,64
1783777866,63
1783777867,63
1783777868,63
1783777869,64
1783777870,65
1783777871,65
1783777872,63
1783777873,63
1783777874,63
1783777875,65
1783777876,64
1783777878,64
1783777879,63
1783777880,63
1783777881,63
1783777882,63
1783777883,63
1783777884,63
1783777885,65
1783777886,65
1783777887,65
1783777888,65
1783777889,65
1783777890,65
1783777891,66
1783777892,59
1783777893,59
1783777894,65
1783777895,65
1783777896,65
1783777897,64
1783777898,65
1783777899,65
1783777900,64
1783777901,63
1783777902,63
1783777903,64
1783777904,64
1783777905,64
1783777906,64
1783777907,64
1783777908,64
1783777909,64
1783777910,64
1783777911,64
1783777912,65
1783777913,60
1783777914,64
1783777915,64
1783777916,64
1783777917,64
1783777918,64
1783777919,64
1783777920,64
1783777921,64
1783777922,63
1783777923,63
1783777924,63
1783777925,63
1783777926,64
1783777927,64
1783777928,58
1783777929,64
1783777930,64
1783777931,64
1783777932,63
1783777933,63
1783777934,64
1783777935,64
1783777936,64
1783777937,58
1783777938,64
1783777939,64
1783777940,65
1783777941,65
1783777942,65
1783777943,65
1783777944,64
1783777945,64
1783777946,65
