timestamp,model,cpu_temp,ram_used_mb,scaling_cur_freq,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1785004031,deepseek-v2:lite,27.0,1412,1701077,32.49,16.34,.615426,24.225886
1785004063,deepseek-v2:lite,29.0,11087,1635253,344.53,15.96,.058048,41.522024
1785004105,deepseek-v2:lite,31.0,11073,800796,308.91,16.38,.064743,29.966554
1785004136,deepseek-v2:lite,28.0,11081,756760,318.26,16.64,.062840,24.865533
1785004161,deepseek-v2:lite,29.0,11077,800000,347.66,16.54,.057527,27.010552
1785004188,deepseek-v2:lite,29.0,11075,800000,361.21,16.99,.055368,22.364274
1785004211,deepseek-v2:lite,29.0,11080,691507,381.94,15.95,.052363,39.981756
1785004252,deepseek-v2:lite,29.0,11079,800828,322.38,16.29,.062038,25.710321
1785004278,deepseek-v2:lite,29.0,11081,1486261,325.22,16.41,.061496,24.305053
1785004303,deepseek-v2:lite,29.0,11065,801108,308.02,16.66,.064930,23.767918
1785004327,deepseek-v2:lite,31.0,11078,1000756,320.23,16.13,.062454,38.807936
1785004366,deepseek-v2:lite,29.0,11074,1008047,347.88,16.73,.057490,19.418231
1785004386,deepseek-v2:lite,31.0,11083,800000,371.16,16.45,.053883,32.459841
1785004419,deepseek-v2:lite,29.0,11079,800000,318.16,17.00,.062860,18.993565
1785004438,deepseek-v2:lite,31.0,11076,799196,342.10,16.57,.058461,27.699115
1785004466,deepseek-v2:lite,29.0,11081,800000,360.03,16.37,.055550,27.238319
1785004494,deepseek-v2:lite,29.0,11084,800000,324.92,16.65,.061552,23.781760
1785004518,deepseek-v2:lite,31.0,11091,796254,368.75,16.60,.054236,29.802149
1785004549,deepseek-v2:lite,31.0,11088,800000,301.72,16.54,.066285,28.410641
1785004577,deepseek-v2:lite,31.0,11090,800000,320.46,16.47,.062409,25.367314
1785004603,deepseek-v2:lite,31.0,11090,801934,361.87,16.28,.055267,28.499656
