timestamp,power_w
1784831085,32
1784831086,37
1784831087,37
1784831088,38
1784831089,38
1784831090,37
1784831091,37
1784831092,37
1784831093,37
1784831094,37
1784831095,37
1784831096,37
1784831097,37
1784831098,37
1784831099,37
1784831100,37
1784831101,37
1784831102,37
1784831103,37
1784831104,37
1784831105,37
1784831106,37
1784831107,37
1784831108,37
1784831109,37
1784831110,35
1784831111,37
1784831112,37
1784831113,37
1784831114,56
1784831115,56
1784831116,61
1784831117,61
1784831118,61
1784831119,60
1784831120,60
1784831121,60
1784831122,60
1784831123,61
1784831124,61
1784831125,59
1784831126,59
1784831127,59
1784831128,59
1784831129,59
1784831130,60
1784831131,60
1784831132,60
1784831133,59
1784831134,59
1784831135,59
1784831136,59
1784831137,59
1784831138,59
1784831139,59
1784831140,59
1784831141,59
1784831142,60
1784831143,60
1784831145,60
1784831146,60
1784831147,60
1784831148,59
1784831149,60
1784831150,60
1784831151,59
1784831152,59
1784831153,59
1784831154,60
1784831155,59
1784831156,59
1784831157,59
1784831158,59
1784831159,59
1784831160,59
1784831161,58
1784831162,58
1784831163,59
1784831164,58
1784831165,58
1784831166,58
1784831167,58
1784831168,58
1784831169,58
1784831170,58
1784831171,59
1784831172,59
1784831173,58
1784831174,59
1784831175,59
1784831176,59
1784831177,59
1784831178,59
1784831179,59
1784831180,59
1784831181,59
1784831182,58
1784831183,59
1784831184,59
1784831185,59
1784831186,59
1784831187,59
1784831188,59
1784831189,59
1784831190,59
1784831191,54
1784831192,60
1784831193,60
1784831194,59
1784831195,59
1784831196,59
1784831197,59
1784831198,59
1784831199,59
1784831200,58
1784831201,59
1784831202,59
1784831203,58
1784831204,58
1784831205,58
1784831206,58
1784831207,59
1784831208,59
1784831209,58
1784831210,60
1784831211,60
1784831212,59
1784831213,59
1784831214,59
1784831215,59
1784831216,58
1784831217,59
1784831218,59
1784831219,59
1784831220,59
1784831221,59
1784831222,59
1784831223,60
1784831224,60
1784831225,59
1784831226,58
1784831227,58
1784831228,59
1784831229,59
1784831230,59
1784831231,59
1784831233,58
1784831234,58
1784831235,59
1784831236,59
1784831237,59
1784831238,59
1784831239,58
1784831240,58
1784831241,59
1784831242,59
1784831243,59
1784831244,60
1784831245,59
1784831246,59
1784831247,59
1784831248,59
1784831249,59
1784831250,58
1784831251,59
1784831252,59
1784831253,59
1784831254,59
1784831255,59
1784831256,58
1784831257,58
1784831258,58
1784831259,58
1784831260,58
1784831261,58
1784831262,58
1784831263,58
1784831264,59
1784831265,59
1784831266,58
1784831267,59
1784831268,59
1784831269,59
1784831270,58
1784831271,58
1784831272,59
1784831273,55
1784831274,55
1784831275,59
1784831276,59
1784831277,59
1784831278,60
1784831279,59
1784831280,59
1784831281,59
1784831282,60
1784831283,60
1784831284,59
1784831285,59
1784831286,59
1784831287,60
1784831288,59
1784831289,59
1784831290,59
1784831291,59
1784831292,59
1784831293,59
1784831294,59
1784831295,59
1784831296,59
1784831297,59
1784831298,59
1784831299,60
1784831300,58
1784831301,58
1784831302,59
1784831303,58
1784831304,58
1784831305,59
1784831306,58
1784831307,58
1784831308,58
1784831309,60
1784831310,59
1784831311,59
1784831312,59
1784831313,59
1784831314,59
1784831315,60
1784831316,58
1784831317,58
1784831318,59
1784831319,58
1784831321,58
1784831322,59
1784831323,59
1784831324,59
1784831325,59
1784831326,58
1784831327,58
1784831328,59
1784831329,59
1784831330,59
1784831331,59
1784831332,58
1784831333,58
1784831334,59
1784831335,59
1784831336,59
1784831337,59
1784831338,60
1784831339,60
1784831340,58
1784831341,59
1784831342,59
1784831343,59
1784831344,58
1784831345,58
1784831346,60
1784831347,58
1784831348,58
1784831349,61
1784831350,59
1784831351,59
1784831352,59
1784831353,58
1784831354,51
1784831355,51
1784831356,59
1784831357,58
1784831358,58
1784831359,59
1784831360,60
1784831361,60
1784831362,59
1784831363,60
1784831364,60
1784831365,59
1784831366,59
1784831367,59
1784831368,59
1784831369,60
1784831370,60
1784831371,59
1784831372,59
1784831373,59
1784831374,60
1784831375,59
1784831376,59
1784831377,58
1784831378,59
1784831379,59
1784831380,60
1784831381,59
1784831382,59
1784831383,58
1784831384,59
1784831385,59
1784831386,59
1784831387,59
1784831388,59
1784831389,60
1784831390,59
1784831391,59
1784831392,58
1784831393,60
1784831394,60
1784831395,58
1784831396,59
1784831397,59
1784831398,59
1784831399,59
1784831400,58
1784831401,58
1784831402,59
1784831403,59
1784831404,59
1784831405,59
1784831407,59
1784831408,59
1784831409,59
1784831410,59
1784831411,59
1784831412,58
1784831413,59
1784831414,59
1784831415,59
1784831416,60
1784831417,60
1784831418,59
1784831419,60
1784831420,60
1784831421,60
1784831422,60
1784831423,60
1784831424,59
1784831425,59
1784831426,59
1784831427,59
1784831428,58
1784831429,58
1784831430,59
1784831431,59
1784831432,59
1784831433,58
1784831434,58
1784831435,58
1784831436,59
1784831437,59
1784831438,59
1784831439,58
1784831440,51
1784831441,51
1784831442,60
1784831443,59
1784831444,60
1784831445,60
1784831446,60
1784831447,60
1784831448,60
1784831449,60
1784831450,61
1784831451,61
1784831452,59
1784831453,60
1784831454,60
1784831455,61
1784831456,59
1784831457,59
1784831458,60
1784831459,59
1784831460,59
