timestamp,freq_khz_max,freq_khz_mean,freq_khz_pcore_max
1785534363,2101522,1575573,2107216
1785534364,2100077,1189696,2100836
1785534365,2100021,1059881,2100000
1785534366,2100075,1124595,2100000
1785534367,2100000,927594,800955
1785534368,2100345,1449641,2100021
1785534369,2105076,1710179,2101048
1785534370,2101115,1709192,2100021
1785534371,2105769,1645604,2100021
1785534372,2102866,1579954,2100287
1785534373,2100257,1514211,2100021
1785534374,2100021,1579131,2100021
1785534375,2102469,1710053,2100021
1785534376,2102554,1580084,2100021
1785534377,2100047,1579413,2100021
1785534378,2103668,1775008,2101921
1785534379,2106559,1580073,2100021
1785534380,2100021,1644175,2100021
1785534381,2107217,1515671,2100021
1785534382,2104803,1580016,2100000
1785534383,2107934,1645214,2100256
1785534384,2100110,1642581,2100021
1785534385,2100043,1447760,2100395
1785534386,2101515,1644574,2100188
1785534387,2107692,1515320,2100021
1785534388,2103089,1580240,2100021
1785534389,2103885,1515193,2101726
1785534390,2100119,1449776,2100768
1785534391,2100322,1512953,2101923
1785534392,2100068,1514539,2104625
1785534393,2102136,1644668,2103431
1785534394,2101057,1644999,2100028
1785534395,2100457,1642766,2101268
1785534396,2101898,1904891,2100408
1785534397,2102955,1645014,2100021
1785534398,2102011,1774437,2101256
1785534399,2100021,1579593,2100021
1785534400,2100444,1579711,2100021
1785534401,2105252,1840447,2101686
1785534402,2105530,1905043,2101910
1785534403,2104803,1904618,2104272
1785534404,2100041,1774464,2100021
1785534405,2101807,1839655,2100318
1785534406,2101597,1840170,2100949
1785534407,2100021,1643216,2100964
1785534408,2106162,1643698,2100000
1785534409,2103395,1577311,2100195
1785534410,2106325,1644724,2101885
1785534411,2100154,1709818,2100000
1785534412,2103452,1710126,2100021
1785534413,2100617,1449717,2102664
1785534414,2101724,1449802,2100021
1785534415,2106157,1515380,2100301
1785534416,2101597,1772458,2100000
1785534417,2100156,1579961,2100042
1785534418,2104939,1775270,2100161
1785534419,2103835,1579769,2103703
1785534420,2100240,1512091,2100000
1785534421,2102164,1904777,2101365
1785534422,2106272,1710324,2100000
1785534423,2104038,1515213,2100021
1785534425,2100728,1709972,2105483
1785534426,2100872,1642665,2100021
1785534427,2100021,1449970,2100021
1785534428,2101834,1775135,2101721
1785534429,2100077,1644724,2101907
1785534430,2100911,1449486,2100021
1785534431,2103233,1515405,2100021
1785534432,2103482,1702341,2100661
1785534433,2105357,1645016,2100021
1785534434,2103676,1710105,2101576
1785534435,2103874,1580165,2100102
1785534436,2100036,1642770,2100021
1785534437,2105603,1710322,2100000
1785534438,2103270,1643638,2101474
1785534439,2101826,1254468,2102027
1785534440,2100237,1579320,2100265
1785534441,2102097,1449685,2100021
1785534442,2106381,1512878,2100021
1785534443,2102088,1774892,2101309
1785534444,2100021,1644453,2100021
1785534445,2107006,1645540,2100235
1785534446,2102064,1774815,2102774
1785534447,2103136,1774769,2100037
1785534448,2104601,1642012,2100000
1785534449,2101240,1577707,2100021
1785534450,2103239,1450121,2100411
1785534451,2102125,1514691,2100021
1785534452,2100021,1514956,2100326
1785534453,2100021,1384825,2100021
1785534454,2105016,1575568,2100301
1785534455,2102218,1644986,2101612
1785534456,2107572,1710763,2103420
1785534457,2100268,1838983,2100021
1785534458,2104158,1709581,2100288
1785534459,2102606,1579843,2100021
1785534460,2101854,1444976,2100021
1785534461,2102869,1772531,2100000
1785534462,2106888,1775367,2101391
1785534463,2103426,1579818,2100000
1785534464,2104285,1710279,2101089
1785534465,2101761,1772689,2100021
1785534466,2100261,1579943,2100021
1785534467,2100482,1709809,2100021
1785534468,2100047,1904424,2100052
1785534469,2102513,1515045,2100021
1785534470,2104899,1579807,2100021
1785534471,2106158,1696322,2100096
1785534472,2101990,1579537,2101122
1785534473,2103438,1580147,2103943
1785534474,2100825,1578973,2100712
1785534475,2103760,1773332,2100021
1785534476,2109320,1577898,2100000
1785534477,2103201,1709986,2100039
1785534478,2107758,1580307,2101192
1785534479,2100108,1449431,2100876
1785534480,2101520,1644640,2100021
1785534481,2107528,1450380,2100177
1785534482,2111561,1710291,2100000
1785534483,2100636,1579926,2100021
1785534484,2100476,1644401,2100476
1785534485,2100333,1709664,2102158
1785534486,2103176,1645040,2100021
1785534487,2104166,1580387,2100113
1785534488,2100585,1580014,2102027
1785534489,2108707,1513493,2100021
1785534490,2103148,1514966,2100306
1785534491,2102270,1709779,2102302
1785534493,2104235,1645109,2100066
1785534494,2102610,1644836,2100042
1785534495,2101824,1644980,2103688
1785534496,2100670,1515018,2100020
1785534497,2100033,1449296,2100547
1785534498,2107093,1710128,2100021
1785534499,2106932,1580316,2100000
1785534500,2103112,1512701,2100021
1785534501,2102674,1512979,2100000
1785534502,2107812,1579654,2101751
1785534503,2101126,1448005,2100329
1785534504,2101446,1644642,2100022
1785534505,2108187,1579968,2100021
1785534506,2100530,1644706,2100270
1785534507,2105316,1580104,2100544
1785534508,2101123,1510981,2100344
1785534509,2100021,1449875,2100000
1785534510,2110479,1580264,2100127
1785534511,2108522,1515167,2100021
1785534512,2100144,1644672,2100026
1785534513,2104118,1513081,2100021
1785534514,2100251,1579819,2100076
1785534515,2105915,1515190,2100493
1785534516,2100279,1514272,2100021
1785534517,2100021,1384873,2100021
1785534518,2100308,1514689,2100000
1785534519,2100086,1774808,2101278
1785534520,2101891,1775166,2100050
1785534521,2104633,1774940,2101905
1785534522,2102029,1579912,2100963
1785534523,2103400,1710207,2100000
1785534524,2102989,1775188,2100427
1785534525,2103896,1580247,2100021
1785534526,2102083,1515054,2100021
1785534527,2100064,1644763,2100035
1785534528,2101335,1774538,2100000
1785534529,2100543,1709801,2100000
1785534530,2101725,1644312,2100021
1785534531,2100020,1771901,2100000
1785534532,2100047,1644696,2100021
1785534533,2101190,1579982,2100021
1785534534,2104712,1515382,2100021
1785534535,2103308,1514429,2100021
1785534536,2100231,1514774,2100021
1785534537,2100180,1447890,2100021
1785534538,2100277,1449915,2100021
1785534539,2100078,1579881,2100530
1785534540,2100026,1514382,2100000
1785534541,2101570,1580004,2100021
1785534542,2104463,1580342,2100880
1785534543,2101955,1774755,2100466
1785534544,2100021,1643999,2102063
1785534545,2103680,1839155,2101684
1785534546,2103317,1709908,2100021
1785534547,2106313,1840037,2107191
1785534548,2105726,1515512,2100735
