timestamp,model,cpu_temp,ram_used_mb,scaling_cur_freq,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1785360860,phi3:mini,28.0,1332,2100000,32.48,16.56,.800264,23.239810
1785360887,phi3:mini,32.0,4947,800880,474.19,16.23,.054830,31.792361
1785360919,phi3:mini,32.0,4941,1100000,401.08,16.12,.064824,34.924884
1785360954,phi3:mini,32.0,4939,2100000,456.74,16.70,.056925,23.344537
1785360978,phi3:mini,30.0,4945,1526957,501.35,16.14,.051859,33.746711
1785361012,phi3:mini,32.0,4932,1100000,475.54,16.25,.054673,33.411787
1785361045,phi3:mini,34.0,4932,802250,424.05,16.07,.061312,33.085372
1785361079,phi3:mini,32.0,4937,1047916,434.46,16.20,.059843,31.832568
1785361111,phi3:mini,33.0,4936,1199478,462.97,16.15,.056158,37.021094
1785361148,phi3:mini,32.0,4939,797611,490.76,16.13,.052978,39.544455
1785361188,phi3:mini,33.0,4929,803984,484.48,17.29,.053665,16.656152
1785361204,phi3:mini,32.0,4934,1498930,476.36,16.37,.054580,32.798967
1785361238,phi3:mini,32.0,4945,799041,445.86,16.41,.058313,29.905306
1785361268,phi3:mini,33.0,4941,800008,487.33,15.60,.053351,46.317204
1785361314,phi3:mini,32.0,4946,800000,402.44,16.62,.064605,24.846735
1785361339,phi3:mini,32.0,4941,801300,450.77,16.23,.057678,32.948182
1785361373,phi3:mini,32.0,4941,800000,436.02,16.76,.059630,22.839666
1785361396,phi3:mini,32.0,4939,664789,463.95,16.71,.056040,27.163902
1785361423,phi3:mini,33.0,4940,936212,451.11,16.57,.057634,26.794075
1785361450,phi3:mini,32.0,4927,800000,469.80,15.99,.055342,37.132422
