timestamp,model,cpu_temp,ram_used_mb,scaling_cur_freq,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s,watts_mean,freq_khz_max_mean,freq_khz_mean_mean,inference_duration_s,tokens_per_joule,eco_efficiency_ce,response_time_s
1786722246,deepseek-v2:lite,32.0,1118,800000,42.68,22.81,43.012368300503894,22.987631699496106,46.28125,1404204.34375,1172813.296875,66.0,0.4928561782579338,4435.705604321404,66.0
1786722312,deepseek-v2:lite,32.0,10885,800000,473.8,22.72,18.130588898735198,0.869411101264803,71.73684210526316,2604157.947368421,1992137.6315789474,19.0,0.31671313279530444,2850.4181951577402,19.0
1786722331,deepseek-v2:lite,33.0,10875,1364662,446.87,22.65,21.890462600102232,1.109537399897768,71.65217391304348,2604395.9565217393,1977398.1739130435,23.0,0.31611043689320384,2844.9939320388344,23.0
1786722354,deepseek-v2:lite,34.0,10875,800000,465.79,22.69,24.792294464461186,1.2077055355388142,71.52,2605044.24,1976817.56,26.0,0.31725391498881433,2855.2852348993288,26.0
1786722380,deepseek-v2:lite,34.0,10874,799119,434.18,22.23,28.53881378585044,1.4611862141495584,71.4,2604101.966666667,2002080.9,30.0,0.31134453781512605,2802.1008403361343,30.0
1786722410,deepseek-v2:lite,36.0,10883,800000,529.32,22.49,23.981080444355847,1.0189195556441526,71.28,2606446.32,1977130.56,25.0,0.3155162738496072,2839.6464646464647,25.0
1786722435,deepseek-v2:lite,36.0,10888,2600000,419.81,23.11,16.11300009030976,0.8869999096902375,71.05882352941177,2602323.6875,2002478.3125,17.0,0.3252235099337748,2927.011589403973,17.0
1786722452,deepseek-v2:lite,36.0,10883,2600000,406.67,22.66,22.73328209069946,1.2667179093005378,71.82608695652173,2604036.25,2085852.0833333333,24.0,0.31548426150121067,2839.358353510896,24.0
1786722476,deepseek-v2:lite,36.0,10885,800000,452.66,22.82,19.992134264322367,1.007865735677631,71.57142857142857,2605665.0476190476,2059127.6666666667,21.0,0.3188423153692615,2869.580838323354,20.999999999999996
1786722497,deepseek-v2:lite,36.0,10887,800000,452.43,23.41,13.311239071956958,0.6887609280430397,71.28571428571429,2604580.9285714286,1997204.642857143,14.0,0.32839679358717433,2955.5711422845693,13.999999999999998
1786722511,deepseek-v2:lite,34.0,10889,831359,454.29,22.79,19.996834912383665,1.0031650876163325,71.66666666666667,2607215.6,1991287.9,21.0,0.31799999999999995,2861.9999999999995,20.999999999999996
1786722532,deepseek-v2:lite,33.0,10889,2000000,469.78,22.37,25.772752209692168,1.2272477903078332,71.73076923076923,2603959.1481481483,1969386.962962963,27.0,0.31186058981233244,2806.745308310992,27.0
1786722559,deepseek-v2:lite,33.0,10887,800000,544.87,23.22,17.264271506275414,0.7357284937245858,71.55555555555556,2604007.3333333335,2054260.0555555555,18.0,0.32450310559006207,2920.5279503105585,18.0
1786722577,deepseek-v2:lite,36.0,10897,2600000,437.25,22.77,17.1090387374462,0.890961262553802,71.38888888888889,2604544.888888889,2007170.3333333333,18.0,0.3189571984435798,2870.614785992218,18.0
1786722595,deepseek-v2:lite,36.0,10895,1407901,456.85,22.85,16.190223056076714,0.8097769439232854,71.47058823529412,2604784.25,2036683.4375,17.0,0.3197119341563786,2877.4074074074074,17.0
1786722612,deepseek-v2:lite,36.0,10896,976225,425.4,23.3,14.221083129039446,0.7789168709605528,72.06666666666666,2605125.066666667,2052586.4666666666,15.0,0.32331174838112864,2909.8057354301577,14.999999999999998
1786722627,deepseek-v2:lite,36.0,10892,1995294,458.36,22.94,20.951423228755456,1.048576771244546,71.47619047619048,2604776.8636363638,2022481.9545454546,22.0,0.320946035976016,2888.5143237841444,22.0
1786722649,deepseek-v2:lite,37.0,10888,1098716,427.23,23.23,18.02017937219731,0.9798206278026905,71.78947368421052,2604455.947368421,2011855.4210526317,19.0,0.3235850439882698,2912.2653958944284,19.0
1786722668,deepseek-v2:lite,34.0,10890,1400620,439.94,22.94,17.107932941583133,0.8920670584168684,71.0,2604841.277777778,1964009.9444444445,18.0,0.32309859154929577,2907.8873239436616,18.0
1786722686,deepseek-v2:lite,36.0,10897,880271,441.61,22.86,21.86800008611966,1.1319999138803365,71.69565217391305,2604958.0,1957292.8636363635,23.0,0.3188477865372953,2869.6300788356575,22.999999999999996
1786722709,deepseek-v2:lite,36.0,10900,1086977,402.79,22.99,17.974094602846538,1.0259053971534595,71.94736842105263,2604964.3684210526,2025750.4210526317,19.0,0.3195391367959034,2875.8522311631305,18.999999999999996
1786722728,deepseek-v2:lite,36.0,10893,800944,464.3,22.88,20.013752617102508,0.9862473828974917,71.65,2605147.904761905,1985921.0476190476,21.0,0.3193300767620376,2873.9706908583385,21.0
1786722749,deepseek-v2:lite,36.0,10901,800938,448.81,23.16,18.067652605038454,0.9323473949615442,71.6842105263158,2604906.6842105263,2016014.894736842,19.0,0.3230837004405286,2907.7533039647574,18.999999999999996
1786722768,deepseek-v2:lite,33.0,10900,1200000,473.05,22.94,20.028730417951977,0.9712695820480253,72.14285714285714,2604042.4,2018764.75,21.0,0.31798019801980204,2861.821782178218,21.0
1786722789,deepseek-v2:lite,36.0,10907,1800000,460.09,22.61,21.922664180650507,1.0773358193494924,71.5909090909091,2605439.6086956523,2032184.4347826086,23.0,0.3158222222222222,2842.4,23.0
1786722812,deepseek-v2:lite,36.0,10894,2600000,443.47,22.89,16.165601681104725,0.834398318895274,71.3529411764706,2603469.2352941176,1998766.0588235294,17.0,0.32079967023907663,2887.1970321516897,17.0
1786722829,deepseek-v2:lite,36.0,10893,1000000,486.53,23.0,16.23262614566365,0.7673738543363492,71.23529411764706,2605218.0588235296,2048907.1764705882,17.0,0.3228736581337737,2905.8629232039634,17.0
1786722846,deepseek-v2:lite,34.0,10897,798321,415.16,22.67,21.809103990133156,1.1908960098668433,71.08695652173913,2603475.772727273,2025885.2727272727,23.0,0.31890519877675844,2870.146788990826,23.0
1786722869,deepseek-v2:lite,37.0,10906,870007,440.24,22.91,19.96122206628522,1.0387779337147791,71.61904761904762,2604511.1904761903,2029496.761904762,21.0,0.31988696808510636,2878.9827127659573,21.0
1786722890,deepseek-v2:lite,37.0,10911,800000,450.71,22.93,16.176990963601046,0.8230090363989528,71.1875,2604796.411764706,2116086.529411765,17.0,0.32210711150131693,2898.9640035118523,17.0
1786722907,deepseek-v2:lite,34.0,10908,798534,438.53,22.94,18.055496565323857,0.9445034346761437,71.78947368421052,2597623.3157894737,1926573.894736842,19.0,0.3195454545454546,2875.909090909091,19.0
1786722926,deepseek-v2:lite,37.0,10905,798751,443.65,23.08,16.159342660638913,0.8406573393610867,71.76470588235294,2604726.0,1980700.625,17.0,0.32160655737704913,2894.459016393442,17.0
1786722943,deepseek-v2:lite,34.0,10904,799694,478.0,23.03,18.126659082290484,0.8733409177095185,72.10526315789474,2605969.263157895,1964429.2631578948,19.0,0.3193941605839416,2874.5474452554745,19.000000000000004
1786722962,deepseek-v2:lite,37.0,10906,800000,459.16,23.31,15.22697784318196,0.7730221568180404,71.625,2605548.0625,2048119.375,16.0,0.32544502617801047,2929.005235602094,16.0
1786722978,deepseek-v2:lite,36.0,10904,819895,471.48,22.89,18.120274288488382,0.8797257115116208,71.72222222222223,2604920.5789473685,2030808.4736842106,19.0,0.31914794732765295,2872.3315259488763,19.000000000000004
1786722997,deepseek-v2:lite,36.0,10909,2600000,456.85,23.15,19.9871875,1.0128125,72.04761904761905,2605054.55,2023469.25,21.0,0.3213152676801057,2891.837409120951,21.0
1786723018,deepseek-v2:lite,36.0,10909,791860,469.75,23.35,18.100283918069355,0.8997160819306429,71.6842105263158,2603827.263157895,1968695.4736842106,19.0,0.3257342143906021,2931.607929515418,18.999999999999996
1786723037,deepseek-v2:lite,34.0,10894,800000,500.56,22.94,20.07977077363897,0.9202292263610315,71.61904761904762,2604696.904761905,2037637.6666666667,21.0,0.3203058510638298,2882.7526595744685,21.0
1786723058,deepseek-v2:lite,34.0,10906,1296634,476.95,23.19,16.21176070700204,0.7882392929979606,71.23529411764706,2603575.117647059,1990325.0588235294,17.0,0.32554087530966147,2929.8678777869536,17.0
1786723075,deepseek-v2:lite,34.0,10910,1600000,447.23,22.9,19.02580137408802,0.9741986259119817,71.36842105263158,2603292.45,1960922.35,20.0,0.3208702064896755,2887.83185840708,20.0
1786723095,deepseek-v2:lite,34.0,10903,1000000,494.43,23.03,18.15438874502377,0.84561125497623,72.05263157894737,2603059.722222222,2024319.2222222222,19.0,0.319627465303141,2876.647187728269,19.0
1786723114,deepseek-v2:lite,37.0,10908,862216,458.33,23.28,15.22659413218164,0.7734058678183593,71.375,2605475.375,1991708.25,16.0,0.3261646234676007,2935.4816112084063,16.0
1786723130,deepseek-v2:lite,36.0,10911,800000,461.62,23.17,15.235297757792033,0.7647022422079663,71.75,2605604.3125,2014175.125,16.0,0.3229268292682927,2906.3414634146343,16.0
1786723146,deepseek-v2:lite,36.0,10910,998113,457.34,22.64,19.056627359473314,0.9433726405266887,71.57894736842105,2604812.6,2027980.6,20.0,0.31629411764705884,2846.6470588235297,20.000000000000004
1786723166,deepseek-v2:lite,37.0,10898,2600000,475.18,24.0,8.567290356184142,0.43270964381585797,71.55555555555556,2604456.6666666665,1929142.0,9.0,0.3354037267080745,3018.6335403726703,9.0
1786723175,deepseek-v2:lite,37.0,10901,1308474,484.7,22.97,20.049835523076016,0.9501644769239861,71.66666666666667,2604395.3,2018557.4,21.0,0.3205116279069767,2884.60465116279,21.000000000000004
1786723196,deepseek-v2:lite,37.0,10896,800000,451.59,22.81,19.990282462057337,1.0097175379426644,71.47619047619048,2605083.095238095,2003825.4285714286,21.0,0.31912724850099927,2872.1452365089935,21.0
1786723217,deepseek-v2:lite,36.0,10900,800000,457.61,22.71,18.101661392405063,0.8983386075949367,71.26315789473684,2606611.789473684,2064403.7894736843,19.0,0.3186779911373708,2868.101920236337,19.0
1786723236,deepseek-v2:lite,37.0,10901,1602461,440.15,22.76,17.114989954850834,0.8850100451491651,71.66666666666667,2604954.722222222,2023219.388888889,18.0,0.3175813953488372,2858.2325581395353,18.0
1786723254,deepseek-v2:lite,31.0,10906,1326959,427.55,23.28,17.07051438457955,0.9294856154204467,71.70588235294117,2605003.882352941,2000530.8235294118,18.0,0.3246595570139459,2921.936013125513,17.999999999999996
1786723272,deepseek-v2:lite,36.0,10908,800000,440.64,22.72,18.068370165745854,0.9316298342541435,71.36842105263158,2603379.263157895,2054546.3684210526,19.0,0.3183480825958702,2865.132743362832,18.999999999999996
1786723291,deepseek-v2:lite,36.0,10906,1469585,453.4,22.34,24.779081010636062,1.2209189893639385,71.1923076923077,2604043.8076923075,2042128.1923076923,26.0,0.31379794705564557,2824.1815235008103,26.0
1786723317,deepseek-v2:lite,34.0,10912,860379,468.47,23.15,14.293661771286768,0.7063382287132337,71.07142857142857,2604247.8666666667,1988066.1333333333,15.0,0.3257286432160804,2931.557788944724,15.000000000000002
1786723332,deepseek-v2:lite,33.0,10915,1059255,438.95,22.46,20.929108601894196,1.0708913981058061,70.95454545454545,2604197.714285714,1994758.619047619,22.0,0.3165406790518898,2848.8661114670085,22.000000000000004
1786723354,deepseek-v2:lite,36.0,10917,800000,442.7,22.48,26.646889376155467,1.3531106238445332,71.82142857142857,2603346.4285714286,1971899.7142857143,28.0,0.31299850820487324,2816.9865738438593,28.0
