timestamp,model,cpu_temp,ram_used_mb,scaling_cur_freq,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1787046999,qwen2.5:0.5b,30.0,1050,810963,239.94,90.13,.175039,5.891117
1787047010,qwen2.5:0.5b,31.0,1663,801921,3015.19,90.88,.013929,4.665050
1787047015,qwen2.5:0.5b,36.0,1670,1176881,3947.70,89.63,.010639,6.147048
1787047021,qwen2.5:0.5b,37.0,1646,1651425,3677.51,90.72,.011420,4.827929
1787047026,qwen2.5:0.5b,36.0,1663,799679,3769.61,93.35,.011141,2.431469
1787047029,qwen2.5:0.5b,37.0,1671,1100000,2882.73,93.60,.014569,2.660101
1787047032,qwen2.5:0.5b,36.0,1671,2177241,4003.58,87.82,.010490,8.141295
1787047040,qwen2.5:0.5b,34.0,1653,1779205,3366.14,91.41,.012477,4.091280
1787047045,qwen2.5:0.5b,36.0,1669,3005474,3518.22,89.65,.011937,6.145783
1787047051,qwen2.5:0.5b,37.0,1673,1400000,4050.34,87.90,.010369,7.951939
1787047060,qwen2.5:0.5b,37.0,1680,1800000,2967.62,92.55,.014152,4.192102
1787047064,qwen2.5:0.5b,37.0,1673,799517,3493.31,91.58,.012022,4.269105
1787047069,qwen2.5:0.5b,37.0,1675,999500,4058.03,87.00,.010349,9.080435
1787047078,qwen2.5:0.5b,37.0,1681,1000000,3861.48,92.21,.010876,3.622045
1787047082,qwen2.5:0.5b,37.0,1679,1507853,3247.18,89.76,.012934,6.316360
1787047089,qwen2.5:0.5b,37.0,1680,1100000,3910.37,92.45,.010740,3.655836
1787047093,qwen2.5:0.5b,37.0,1693,2960493,3986.48,88.70,.010535,7.913621
1787047101,qwen2.5:0.5b,37.0,1685,800904,3730.88,90.50,.011257,5.159722
1787047107,qwen2.5:0.5b,37.0,1689,3000000,3672.38,89.70,.011436,6.175513
1787047113,qwen2.5:0.5b,37.0,1671,1270274,3722.58,87.39,.011282,10.572753
1787047124,qwen2.5:0.5b,37.0,1690,808194,3116.18,91.05,.013478,6.029209
1787047131,qwen2.5:0.5b,37.0,1684,1806788,3586.89,89.62,.011709,7.654484
1787047139,qwen2.5:0.5b,38.0,1679,800000,3899.97,90.07,.010769,5.906282
1787047145,qwen2.5:0.5b,37.0,1684,1400000,3812.05,92.16,.011017,4.285933
1787047149,qwen2.5:0.5b,38.0,1700,799709,3522.27,90.30,.011924,5.071874
1787047155,qwen2.5:0.5b,37.0,1705,1378877,3996.63,94.60,.010508,3.815714
1787047159,qwen2.5:0.5b,38.0,1699,2586556,4081.44,87.77,.010290,10.002761
1787047169,qwen2.5:0.5b,38.0,1704,800000,4107.33,92.82,.010225,3.996878
1787047174,qwen2.5:0.5b,37.0,1699,1527653,3562.55,91.14,.011789,4.421310
1787047178,qwen2.5:0.5b,37.0,1693,909262,3777.73,90.87,.011117,5.062040
1787047184,qwen2.5:0.5b,37.0,1714,799739,3462.26,90.12,.012130,6.268850
1787047190,qwen2.5:0.5b,38.0,1704,2003105,3826.04,92.84,.010977,3.145082
1787047194,qwen2.5:0.5b,38.0,1704,800000,3650.95,88.60,.011503,7.618469
1787047202,qwen2.5:0.5b,38.0,1702,1100000,3972.06,91.01,.010573,4.669401
1787047207,qwen2.5:0.5b,38.0,1719,1484983,4172.49,90.64,.010065,5.273125
1787047213,qwen2.5:0.5b,37.0,1696,1900000,3588.36,90.24,.011704,5.329691
1787047218,qwen2.5:0.5b,37.0,1696,819432,3468.57,90.12,.012108,5.814418
1787047224,qwen2.5:0.5b,38.0,1696,2675292,3385.09,88.72,.012407,6.650069
1787047231,qwen2.5:0.5b,38.0,1697,861348,3876.48,92.86,.010834,3.273608
1787047235,qwen2.5:0.5b,37.0,1699,908131,2831.54,90.58,.014832,5.155511
1787047240,qwen2.5:0.5b,37.0,1695,1866216,3423.72,90.23,.012267,5.463481
1787047246,qwen2.5:0.5b,35.0,1706,1087659,3681.29,86.35,.011409,9.912372
1787047257,qwen2.5:0.5b,37.0,1697,999464,3567.66,88.39,.011772,9.525442
1787047267,qwen2.5:0.5b,37.0,1709,800000,3883.27,94.33,.010815,2.204843
1787047269,qwen2.5:0.5b,37.0,1725,800000,3369.13,92.87,.012466,3.542251
1787047273,qwen2.5:0.5b,37.0,1726,800000,3978.15,89.93,.010557,6.171156
1787047279,qwen2.5:0.5b,35.0,1725,1500000,3420.98,92.88,.012277,3.498958
1787047283,qwen2.5:0.5b,37.0,1722,1355969,3709.81,94.13,.011321,2.666380
1787047286,qwen2.5:0.5b,37.0,1723,1600000,3876.60,89.06,.010834,6.927526
1787047293,qwen2.5:0.5b,37.0,1710,1920538,3555.02,91.10,.011814,5.202876
1787047299,qwen2.5:0.5b,38.0,1704,1760795,3831.01,90.96,.010963,5.716510
1787047305,qwen2.5:0.5b,38.0,1714,799638,2746.94,91.60,.015289,4.606932
1787047310,qwen2.5:0.5b,37.0,1720,2107319,3740.80,93.67,.011227,4.195236
1787047314,qwen2.5:0.5b,38.0,1727,1101104,3080.61,89.18,.013633,6.806440
1787047322,qwen2.5:0.5b,37.0,1737,3000000,3885.11,90.99,.010810,4.593594
1787047327,qwen2.5:0.5b,37.0,1735,1986276,3030.25,91.30,.013860,4.841156
1787047332,qwen2.5:0.5b,37.0,1738,1501787,4483.95,89.23,.009366,6.992610
1787047339,qwen2.5:0.5b,38.0,1719,800000,3303.61,92.70,.012713,3.343984
1787047343,qwen2.5:0.5b,35.0,1733,1396976,3989.65,92.80,.010527,3.081660
1787047346,qwen2.5:0.5b,38.0,1740,3000000,2507.95,92.79,.016746,4.008827
1787047350,qwen2.5:0.5b,37.0,1717,1090369,3738.05,90.33,.011235,5.568451
1787047356,qwen2.5:0.5b,38.0,1714,1221600,3565.41,89.38,.011779,6.533575
1787047363,qwen2.5:0.5b,37.0,1735,1582326,3733.51,93.31,.011249,4.125972
1787047368,qwen2.5:0.5b,38.0,1735,1200000,3961.63,89.68,.010601,6.433709
1787047374,qwen2.5:0.5b,34.0,1723,1090782,3154.02,92.79,.013316,3.588555
1787047378,qwen2.5:0.5b,37.0,1739,798983,3662.01,94.89,.011469,2.086420
1787047381,qwen2.5:0.5b,37.0,1742,1800000,3811.47,89.69,.011019,5.852866
1787047387,qwen2.5:0.5b,37.0,1735,800000,3422.65,89.61,.012271,6.125873
1787047393,qwen2.5:0.5b,36.0,1751,2145971,3835.10,92.42,.010951,4.360263
1787047398,qwen2.5:0.5b,35.0,1738,683115,4199.56,92.47,.010001,6.001491
1787047404,qwen2.5:0.5b,37.0,1738,801179,3143.05,87.55,.013362,9.193830
1787047414,qwen2.5:0.5b,37.0,1733,800000,3058.91,91.19,.013730,4.221671
1787047419,qwen2.5:0.5b,37.0,1740,1722278,3355.87,88.80,.012515,7.352804
1787047426,qwen2.5:0.5b,38.0,1731,1798068,3476.46,92.08,.012081,4.376166
1787047431,qwen2.5:0.5b,37.0,1741,1856750,3502.34,92.21,.011991,3.741315
1787047435,qwen2.5:0.5b,37.0,1736,800490,3237.86,92.96,.012971,2.957961
1787047438,qwen2.5:0.5b,38.0,1729,1184371,2857.58,91.79,.014697,4.161466
1787047443,qwen2.5:0.5b,37.0,1737,1191091,3720.25,88.63,.011289,7.637929
1787047451,qwen2.5:0.5b,37.0,1753,1349726,4032.86,87.90,.010414,7.940472
1787047459,qwen2.5:0.5b,37.0,1746,2600000,2937.78,92.77,.014296,2.974966
1787047462,qwen2.5:0.5b,38.0,1748,2500000,3870.70,93.06,.010850,4.147585
1787047467,qwen2.5:0.5b,38.0,1734,800000,3018.69,91.10,.013913,5.158886
1787047472,qwen2.5:0.5b,37.0,1742,2904347,3287.80,91.03,.012774,5.162739
1787047478,qwen2.5:0.5b,38.0,1734,1590604,3559.48,92.57,.011799,3.413568
1787047481,qwen2.5:0.5b,37.0,1749,979501,2838.92,92.30,.014794,4.203389
1787047486,qwen2.5:0.5b,37.0,1734,800000,3619.09,89.77,.011605,5.926238
1787047492,qwen2.5:0.5b,37.0,1758,719755,3817.16,91.19,.011002,4.791870
1787047497,qwen2.5:0.5b,38.0,1744,1212770,3984.85,90.33,.010539,5.424179
1787047503,qwen2.5:0.5b,37.0,1743,1900000,4034.40,94.80,.010410,1.350159
1787047505,qwen2.5:0.5b,38.0,1750,1009314,3626.69,89.04,.011580,6.794241
1787047512,qwen2.5:0.5b,37.0,1735,799162,3649.82,91.43,.011507,4.407287
1787047517,qwen2.5:0.5b,38.0,1736,798595,3667.71,91.45,.011451,4.144213
1787047521,qwen2.5:0.5b,37.0,1737,1386918,2869.71,90.57,.014635,5.133942
1787047527,qwen2.5:0.5b,37.0,1731,1484291,4004.24,88.53,.010488,7.601829
1787047535,qwen2.5:0.5b,36.0,1739,2671500,2911.11,95.73,.014427,.940108
1787047536,qwen2.5:0.5b,37.0,1752,3000000,4018.93,93.20,.010450,3.240122
1787047539,qwen2.5:0.5b,37.0,1757,2700000,3683.58,94.52,.011401,4.813618
1787047544,qwen2.5:0.5b,37.0,1769,1800000,3726.64,92.00,.011270,4.467351
1787047549,qwen2.5:0.5b,37.0,1772,1490470,3908.08,91.27,.010746,5.554449
1787047555,qwen2.5:0.5b,37.0,1762,800718,3582.45,93.06,.011723,3.717646
1787047559,qwen2.5:0.5b,37.0,1763,1000000,3908.33,91.04,.010746,5.305056
1787047565,qwen2.5:0.5b,38.0,1773,2198484,3057.71,90.34,.013735,5.623128
1787047571,qwen2.5:0.5b,37.0,1769,1244287,3815.19,90.35,.011008,5.633599
1787047577,qwen2.5:0.5b,37.0,1768,1898214,4027.39,90.25,.010428,6.382107
1787047583,qwen2.5:0.5b,37.0,1756,2684529,3037.27,92.00,.013828,3.619509
1787047587,qwen2.5:0.5b,37.0,1758,780246,3509.04,87.88,.011969,8.044329
1787047596,qwen2.5:0.5b,37.0,1764,1486883,3902.85,91.35,.010761,4.553607
1787047601,qwen2.5:0.5b,37.0,1767,920540,3022.73,90.42,.013894,5.606658
1787047607,qwen2.5:0.5b,38.0,1777,1100000,3847.35,90.54,.010916,5.003057
1787047612,qwen2.5:0.5b,38.0,1757,3000000,3417.29,93.99,.012290,3.063884
1787047615,qwen2.5:0.5b,38.0,1777,3000389,3025.83,92.22,.013880,4.207291
1787047620,qwen2.5:0.5b,37.0,1794,861967,3524.38,90.05,.011916,5.852042
1787047626,qwen2.5:0.5b,38.0,1776,1404057,3758.61,90.03,.011174,5.731380
1787047632,qwen2.5:0.5b,35.0,1788,999477,3811.41,92.26,.011019,4.053605
1787047636,qwen2.5:0.5b,38.0,1806,1400000,3424.55,87.48,.012264,8.801833
1787047646,qwen2.5:0.5b,38.0,1795,2200000,2968.24,93.07,.014149,3.180389
1787047649,qwen2.5:0.5b,37.0,1803,1553987,3624.88,88.58,.011586,7.947423
1787047657,qwen2.5:0.5b,37.0,1790,800000,3595.78,93.28,.011680,3.065982
1787047661,qwen2.5:0.5b,37.0,1787,1859689,3966.82,91.55,.010587,4.073844
1787047665,qwen2.5:0.5b,37.0,1792,3000000,2780.91,91.70,.015102,4.928966
1787047670,qwen2.5:0.5b,37.0,1799,979864,3398.62,88.54,.012357,7.205743
1787047678,qwen2.5:0.5b,38.0,1779,1000000,3618.68,90.31,.011606,5.447563
1787047684,qwen2.5:0.5b,37.0,1786,800794,3771.44,91.34,.011136,5.353162
1787047689,qwen2.5:0.5b,35.0,1781,1400000,4003.35,89.95,.010491,6.558760
1787047696,qwen2.5:0.5b,38.0,1780,800000,2803.94,89.27,.014978,7.718081
1787047704,qwen2.5:0.5b,37.0,1788,982198,3476.74,89.27,.012080,6.709306
1787047712,qwen2.5:0.5b,37.0,1796,802179,3724.59,96.67,.011276,.765423
1787047713,qwen2.5:0.5b,37.0,1795,2679646,3138.38,92.31,.013382,3.997198
1787047717,qwen2.5:0.5b,38.0,1802,3000000,3830.14,89.19,.010965,7.298914
1787047724,qwen2.5:0.5b,37.0,1791,800000,3613.11,88.82,.011624,7.137259
1787047732,qwen2.5:0.5b,37.0,1800,1099806,2945.85,92.04,.014257,3.954692
1787047736,qwen2.5:0.5b,38.0,1797,2752785,3844.69,91.38,.010924,4.387802
1787047741,qwen2.5:0.5b,38.0,1794,2594272,3063.57,90.34,.013709,5.523529
1787047747,qwen2.5:0.5b,37.0,1800,1548051,3570.06,90.83,.011764,5.317286
1787047752,qwen2.5:0.5b,37.0,1804,1878947,3696.45,93.16,.011362,3.531285
1787047756,qwen2.5:0.5b,38.0,1809,1632432,3796.11,93.63,.011063,3.524184
