timestamp,power_w
1787566905,42
1787566906,42
1787566907,44
1787566908,44
1787566909,44
1787566910,45
1787566911,38
1787566912,38
1787566913,83
1787566914,85
1787566915,85
1787566916,84
1787566917,83
1787566918,83
1787566919,83
1787566920,85
1787566921,85
1787566922,83
1787566923,83
1787566924,83
1787566925,83
1787566926,82
1787566927,81
1787566928,81
1787566929,83
1787566930,85
1787566931,85
1787566932,82
1787566933,82
1787566934,82
1787566935,81
1787566936,80
1787566937,80
1787566938,81
1787566939,84
1787566940,84
1787566941,82
1787566942,78
1787566943,78
1787566944,84
1787566945,83
1787566946,83
1787566947,82
1787566948,81
1787566949,81
1787566950,82
1787566951,81
1787566952,81
1787566953,81
1787566954,82
1787566955,82
1787566956,83
1787566957,83
1787566958,83
1787566959,81
1787566960,82
1787566961,82
1787566962,78
1787566963,84
1787566964,84
1787566965,83
1787566966,85
1787566967,85
1787566968,82
1787566969,82
1787566970,82
1787566971,83
1787566972,77
1787566973,82
1787566974,82
1787566975,82
1787566976,84
1787566977,84
1787566978,82
1787566979,81
1787566980,81
1787566981,83
1787566982,82
1787566983,82
1787566984,82
1787566985,81
1787566986,81
1787566987,83
1787566988,82
1787566989,82
1787566990,82
1787566992,82
1787566993,82
1787566994,83
1787566995,83
1787566996,83
1787566997,82
1787566998,82
1787566999,82
1787567000,83
1787567001,82
1787567002,82
1787567003,83
1787567004,84
1787567005,84
1787567006,84
1787567007,83
1787567008,83
1787567009,83
1787567010,84
1787567011,84
1787567012,83
1787567013,83
1787567014,82
1787567015,82
1787567016,84
1787567017,83
1787567018,83
1787567019,76
1787567020,84
1787567021,84
1787567022,83
1787567023,84
1787567024,84
1787567025,83
1787567026,83
1787567027,83
1787567028,81
1787567029,82
1787567030,82
1787567031,82
1787567032,83
1787567033,83
1787567034,82
1787567035,81
1787567036,81
1787567037,81
1787567038,82
1787567039,82
1787567040,77
1787567041,83
1787567042,83
1787567043,82
1787567044,84
1787567045,84
1787567046,83
1787567047,82
1787567048,82
1787567049,82
1787567050,82
1787567051,82
1787567052,83
1787567053,81
1787567054,81
1787567055,81
1787567056,82
1787567057,82
1787567058,79
1787567059,84
1787567060,83
1787567061,83
1787567062,81
1787567063,82
1787567064,82
1787567065,82
1787567066,81
1787567067,81
1787567068,82
1787567069,81
1787567070,81
1787567071,82
1787567072,82
1787567073,82
1787567074,79
1787567075,84
1787567076,84
1787567077,83
1787567079,84
1787567080,84
1787567081,83
1787567082,82
1787567083,82
1787567084,83
1787567085,82
1787567086,82
1787567087,82
1787567088,83
1787567089,83
1787567090,83
1787567091,82
1787567092,82
1787567093,84
1787567094,83
1787567095,83
1787567096,83
1787567097,81
1787567098,81
1787567099,83
1787567100,84
1787567101,84
1787567102,82
1787567103,82
1787567104,82
1787567105,81
1787567106,81
1787567107,81
1787567108,81
1787567109,82
1787567110,82
1787567111,82
1787567112,84
1787567113,84
1787567114,84
1787567115,83
1787567116,83
1787567117,83
1787567118,82
1787567119,81
1787567120,81
1787567121,83
1787567122,81
1787567123,81
1787567124,83
1787567125,83
1787567126,83
1787567127,83
1787567128,83
1787567129,83
1787567130,78
1787567131,84
1787567132,84
1787567133,83
1787567134,84
1787567135,84
1787567136,83
1787567137,82
1787567138,82
1787567139,81
1787567140,83
1787567141,83
1787567142,82
1787567143,82
1787567144,82
1787567145,82
1787567146,83
1787567147,83
1787567148,82
1787567149,83
1787567150,83
1787567151,84
1787567152,83
1787567153,83
1787567154,82
1787567155,81
1787567156,83
1787567157,83
1787567158,83
1787567159,83
1787567160,83
1787567161,75
1787567162,83
1787567163,83
1787567164,85
1787567165,84
1787567166,84
1787567167,82
1787567168,83
1787567170,83
1787567171,81
1787567172,83
1787567173,83
1787567174,77
1787567175,82
1787567176,82
1787567177,82
1787567178,84
1787567179,84
1787567180,81
1787567181,82
1787567182,82
1787567183,81
1787567184,81
1787567185,81
1787567186,83
1787567187,80
1787567188,80
1787567189,80
1787567190,81
1787567191,81
1787567192,83
1787567193,82
1787567194,82
1787567195,83
1787567196,78
1787567197,78
1787567198,83
1787567199,84
1787567200,84
1787567201,83
1787567202,84
1787567203,81
1787567204,81
1787567205,80
1787567206,81
1787567207,81
1787567208,81
1787567209,81
1787567210,81
1787567211,82
1787567212,82
1787567213,82
1787567214,77
1787567215,83
1787567216,83
1787567217,82
1787567218,83
1787567219,83
1787567220,82
1787567221,81
1787567222,81
1787567223,82
1787567224,82
1787567225,82
1787567226,82
1787567227,83
1787567228,83
1787567229,83
1787567230,83
1787567231,83
1787567232,81
1787567233,82
1787567234,82
1787567235,76
1787567236,83
1787567237,83
1787567238,82
1787567239,81
1787567240,81
1787567241,81
1787567242,82
1787567243,82
1787567244,82
1787567245,81
1787567246,81
1787567247,82
1787567248,81
1787567249,81
1787567250,81
1787567251,81
1787567252,83
1787567253,83
1787567254,83
1787567255,82
1787567256,82
1787567257,84
1787567258,81
1787567260,81
1787567261,84
1787567262,83
1787567263,83
1787567264,83
1787567265,82
1787567266,82
1787567267,84
1787567268,82
1787567269,82
1787567270,83
1787567271,82
1787567272,82
1787567273,86
1787567274,85
1787567275,85
1787567276,82
1787567277,84
1787567278,84
1787567279,81
1787567280,75
1787567281,75
1787567282,83
1787567283,83
1787567284,83
1787567285,82
1787567286,82
1787567287,82
1787567288,82
1787567289,83
1787567290,83
1787567291,83
1787567292,82
1787567293,84
1787567294,84
1787567295,82
1787567296,82
1787567297,82
1787567298,77
1787567299,84
1787567300,84
1787567301,83
1787567302,82
1787567303,82
1787567304,84
1787567305,83
1787567306,83
1787567307,81
1787567308,83
1787567309,83
1787567310,77
1787567311,83
1787567312,83
1787567313,83
1787567314,83
1787567315,83
1787567316,82
1787567317,83
1787567318,83
1787567319,84
1787567320,82
1787567321,82
1787567322,82
1787567323,82
1787567324,82
1787567325,78
1787567326,84
1787567327,84
1787567328,83
1787567329,82
1787567330,82
1787567331,81
1787567332,82
1787567333,82
1787567334,82
1787567335,84
1787567336,83
1787567337,83
1787567338,83
1787567339,82
1787567341,82
1787567342,82
1787567343,82
1787567344,82
1787567345,76
1787567346,83
1787567347,83
1787567348,83
1787567349,82
1787567350,82
1787567351,82
1787567352,83
1787567353,83
1787567354,82
1787567355,82
1787567356,82
1787567357,82
1787567358,82
1787567359,82
1787567360,81
1787567361,83
1787567362,83
1787567363,82
1787567364,82
1787567365,82
1787567366,81
1787567367,82
1787567368,82
1787567369,82
1787567370,82
1787567371,82
1787567372,83
1787567373,82
1787567374,82
1787567375,83
1787567376,81
1787567377,81
1787567378,82
1787567379,82
1787567380,82
1787567381,82
1787567382,82
1787567383,82
1787567384,82
1787567385,84
1787567386,84
1787567387,84
1787567388,83
1787567389,82
1787567390,82
1787567391,83
1787567392,83
1787567393,83
1787567394,83
1787567395,84
1787567396,84
1787567397,85
1787567398,83
1787567399,83
1787567400,83
1787567401,83
1787567402,83
1787567403,81
1787567404,82
1787567405,82
1787567406,77
1787567407,86
1787567408,86
1787567409,86
1787567410,83
1787567411,83
1787567412,84
1787567413,84
1787567414,84
1787567415,83
1787567416,83
1787567417,83
1787567418,83
1787567419,77
1787567420,77
1787567421,84
1787567422,83
1787567423,83
1787567424,84
1787567425,83
1787567426,83
1787567427,83
1787567428,82
1787567429,83
1787567431,83
1787567432,83
