timestamp,freq_khz_max,freq_khz_mean,freq_khz_pcore_max
1787567526,800553,799917,801001
1787567527,3014308,1570909,3002744
1787567528,919237,808322,800681
1787567529,800324,800000,800589
1787567530,800625,800071,800271
1787567531,800546,799998,800120
1787567532,800357,800039,800246
1787567533,800599,800018,800859
1787567534,800226,800017,800619
1787567535,801086,800100,1351712
1787567536,800322,800039,802627
1787567537,800627,800064,800368
1787567538,800318,800015,800308
1787567539,800434,800019,800630
1787567540,800064,799925,900098
1787567541,800717,800088,800607
1787567542,800225,799999,800304
1787567543,800363,800032,800331
1787567544,800344,800001,800300
1787567545,800301,800005,800655
1787567546,800626,800050,800761
1787567547,800450,800000,808135
1787567548,801114,800072,801464
1787567549,800804,800146,800297
1787567550,801142,800092,800164
1787567552,800816,800032,817485
1787567553,800726,800035,802536
1787567554,800946,800038,800601
1787567555,800957,800057,800130
1787567556,868410,803453,800867
1787567557,800590,799986,1312385
1787567558,800316,799945,800253
1787567559,800317,800003,828395
1787567560,800882,800054,800304
1787567561,800335,800031,800594
1787567562,800251,799982,800579
1787567563,800846,799947,800320
1787567564,800373,800033,800582
1787567565,800616,800012,801148
1787567566,800195,799991,814644
1787567567,800549,800051,800423
1787567568,800251,799994,801226
1787567569,801145,800123,800573
1787567570,800878,800058,801070
1787567571,3007308,2119627,3000030
1787567572,3002979,2338681,3001438
1787567573,3004301,2560427,3001126
1787567574,3009971,2341016,3000080
1787567575,3029084,2231702,3000043
1787567576,3000034,2333929,3000606
1787567577,3008757,2227492,3000030
1787567578,3007926,2340492,3003164
1787567579,3000524,2119755,3000000
1787567580,3022844,2341449,3002135
1787567581,3010677,2010782,3000000
1787567582,3008750,2450668,3000000
1787567583,3010037,2010412,3000000
1787567584,3000124,2229281,3000030
1787567585,3002853,2120122,3000290
1787567586,3001190,2448975,3000130
1787567587,3005190,2120195,3009230
1787567588,3000691,2229748,3000030
1787567589,3022258,2560859,3000000
1787567590,3020588,2230977,3000030
1787567591,3018055,2340333,3000197
1787567592,3004549,2339055,3000003
1787567593,3018961,2010949,3002318
1787567594,3007324,2118911,3000448
1787567595,3003654,2340391,3005491
1787567596,3008645,2450584,3000421
1787567597,3002165,2669435,3000030
1787567598,3010070,2339929,3003194
1787567599,3019062,2340387,3000459
1787567600,3000945,2226682,3003764
1787567601,3002083,2449244,3000030
1787567602,3013778,2010907,3000030
1787567604,3000182,2009891,3000030
1787567605,3010893,2340886,3000000
1787567606,3000191,2119580,3000030
1787567607,3000407,2339553,3000000
1787567608,3004185,2450428,3001221
1787567609,3000037,2229327,3007915
1787567610,3003325,2120271,3000000
1787567611,3000173,2002033,3005128
1787567612,3000100,2227004,3000000
1787567613,3004857,2340342,3000215
1787567614,3002696,2120024,3000030
1787567615,3000406,2009546,3000030
1787567616,3000014,2339726,3002394
1787567617,3017236,2231091,3000030
1787567618,3000731,2229771,3000164
1787567619,3000403,2009911,3000033
1787567620,3003757,2229864,3000060
1787567621,3001303,2449765,3003916
1787567622,3008412,2340171,3000098
1787567623,3000783,2229815,3000992
1787567624,3003994,2448062,3000000
1787567625,3003389,2229977,3000746
1787567626,3012252,2450838,3001099
1787567627,3001207,2669964,3000427
