timestamp,model,cpu_temp,ram_used_mb,scaling_cur_freq,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1787566904,deepseek-v2:lite,28.0,1461,3000000,54.12,25.72,.369520,17.802473
1787566928,deepseek-v2:lite,33.0,11098,2292109,520.43,25.57,.038429,12.080331
1787566940,deepseek-v2:lite,34.0,11080,1441017,479.11,24.91,.041743,19.466955
1787566960,deepseek-v2:lite,36.0,11082,2500000,513.07,26.20,.038980,10.225916
1787566970,deepseek-v2:lite,36.0,11086,1500000,489.49,24.30,.040858,29.334974
1787567000,deepseek-v2:lite,37.0,11094,2208290,617.50,25.60,.032388,17.068590
1787567017,deepseek-v2:lite,33.0,11092,1446734,513.85,25.07,.038921,20.136001
1787567038,deepseek-v2:lite,37.0,11082,1569708,488.26,25.36,.040961,17.622998
1787567056,deepseek-v2:lite,38.0,11089,1000953,499.93,25.27,.040005,16.536297
1787567073,deepseek-v2:lite,37.0,11091,1613413,552.13,25.68,.036222,17.323405
1787567090,deepseek-v2:lite,37.0,11086,799717,514.79,25.10,.038850,19.003312
1787567109,deepseek-v2:lite,37.0,11078,1508865,484.61,25.39,.041269,18.548674
1787567128,deepseek-v2:lite,35.0,11080,799185,507.87,25.45,.039379,17.012313
1787567146,deepseek-v2:lite,37.0,11078,3017045,473.11,25.74,.042272,13.907336
1787567160,deepseek-v2:lite,37.0,11088,1088351,482.56,25.85,.041445,12.068763
1787567172,deepseek-v2:lite,35.0,11088,3000000,480.56,24.79,.041618,21.937644
1787567194,deepseek-v2:lite,37.0,11092,1978736,489.03,25.20,.040896,17.338282
1787567212,deepseek-v2:lite,37.0,11089,1100000,523.46,25.17,.038206,21.253224
1787567233,deepseek-v2:lite,38.0,11081,1805555,477.46,24.65,.041887,24.251729
1787567258,deepseek-v2:lite,37.0,11081,1146701,507.41,25.19,.039415,20.240874
1787567279,deepseek-v2:lite,37.0,11103,1017834,499.53,25.39,.040037,17.246038
1787567296,deepseek-v2:lite,35.0,11101,801139,486.31,25.99,.041126,12.346820
1787567309,deepseek-v2:lite,37.0,11087,3000000,454.05,25.78,.044047,14.231627
1787567323,deepseek-v2:lite,37.0,11097,1372998,513.39,25.33,.038956,19.539316
1787567343,deepseek-v2:lite,38.0,11099,917795,495.84,25.35,.040334,16.685902
1787567360,deepseek-v2:lite,37.0,11104,1057348,498.78,24.79,.040097,22.463366
1787567383,deepseek-v2:lite,37.0,11094,1064102,530.54,25.56,.037697,21.670834
1787567405,deepseek-v2:lite,38.0,11089,1475000,502.18,26.05,.039825,13.123781
1787567418,deepseek-v2:lite,37.0,11102,872800,494.83,25.12,.040417,23.440345
1787567442,deepseek-v2:lite,37.0,11105,1099270,533.15,25.84,.037512,13.195517
1787567455,deepseek-v2:lite,38.0,11094,2907681,541.94,25.65,.036904,16.760741
1787567472,deepseek-v2:lite,37.0,11109,2910695,475.95,25.18,.042020,17.231876
1787567490,deepseek-v2:lite,37.0,11105,1800000,477.38,25.20,.041894,22.576275
