timestamp,power_w
1788352049,37
1788352050,37
1788352051,45
1788352052,38
1788352053,38
1788352054,38
1788352055,38
1788352056,38
1788352057,38
1788352058,38
1788352060,38
1788352061,37
1788352062,38
1788352063,38
1788352064,38
1788352065,38
1788352066,38
1788352067,36
1788352068,37
1788352069,37
1788352070,38
1788352071,37
1788352072,37
1788352073,37
1788352074,37
1788352075,37
1788352076,37
1788352077,55
1788352078,108
1788352079,108
1788352080,111
1788352081,113
1788352082,113
1788352083,108
1788352084,110
1788352085,110
1788352086,109
1788352087,110
1788352088,110
1788352089,107
1788352090,110
1788352091,110
1788352092,111
1788352093,108
1788352094,108
1788352095,107
1788352096,108
1788352097,108
1788352098,109
1788352099,108
1788352100,108
1788352101,111
1788352102,110
1788352103,110
1788352104,108
1788352105,109
1788352106,109
1788352107,110
1788352108,109
1788352109,109
1788352110,110
1788352111,110
1788352112,110
1788352113,110
1788352114,111
1788352115,111
1788352116,109
1788352117,112
1788352118,110
1788352119,110
1788352120,109
1788352121,108
1788352122,108
1788352123,109
1788352124,110
1788352125,110
1788352126,109
1788352127,108
1788352128,108
1788352129,110
1788352130,108
1788352131,108
1788352132,109
1788352133,109
1788352134,109
1788352135,110
1788352136,112
1788352137,112
1788352138,109
1788352139,110
1788352140,110
1788352141,110
1788352142,110
1788352143,110
1788352144,108
1788352145,110
1788352147,110
1788352148,110
1788352149,109
1788352150,109
1788352151,110
1788352152,111
1788352153,111
1788352154,109
1788352155,109
1788352156,109
1788352157,109
1788352158,109
1788352159,109
1788352160,108
1788352161,110
1788352162,110
1788352163,112
1788352164,109
1788352165,110
1788352166,110
1788352167,109
1788352168,109
1788352169,109
1788352170,109
1788352171,108
1788352172,108
1788352173,109
1788352174,109
1788352175,109
1788352176,110
1788352177,109
1788352178,109
1788352179,109
1788352180,110
1788352181,110
1788352182,109
1788352183,109
1788352184,109
1788352185,109
1788352186,111
1788352187,111
1788352188,110
1788352189,110
1788352190,110
1788352191,109
1788352192,109
1788352193,109
1788352194,99
1788352195,108
1788352196,108
1788352197,110
1788352198,110
1788352199,110
1788352200,110
1788352201,112
1788352202,112
1788352203,109
1788352204,111
1788352205,111
1788352206,111
1788352207,109
1788352208,110
1788352209,110
1788352210,111
1788352211,112
1788352212,112
1788352213,108
1788352214,109
1788352215,109
1788352216,109
1788352217,109
1788352218,109
1788352219,110
1788352220,110
1788352221,110
1788352222,109
1788352223,108
1788352224,108
1788352225,110
1788352226,109
1788352227,109
1788352228,112
1788352230,109
1788352231,109
1788352232,108
1788352233,110
1788352234,110
1788352235,109
1788352236,109
1788352237,109
1788352238,98
1788352239,112
1788352240,112
1788352241,108
1788352242,111
1788352243,111
1788352244,109
1788352245,110
1788352246,110
1788352247,110
1788352248,111
1788352249,111
1788352250,112
1788352251,110
1788352252,109
1788352253,109
1788352254,111
1788352255,111
1788352256,111
1788352257,111
1788352258,110
1788352259,110
1788352260,108
1788352261,111
1788352262,111
1788352263,111
1788352264,110
1788352265,110
1788352266,109
1788352267,108
1788352268,108
1788352269,107
1788352270,110
1788352271,110
1788352272,110
1788352273,109
1788352274,109
1788352275,112
1788352276,109
1788352277,109
1788352278,109
1788352279,108
1788352280,108
1788352281,109
1788352282,111
1788352283,111
1788352284,108
1788352285,110
1788352286,110
1788352287,109
1788352288,109
1788352289,109
1788352290,109
1788352291,110
1788352292,110
1788352293,110
1788352294,110
1788352295,110
1788352296,108
1788352297,112
1788352298,109
1788352299,109
1788352300,111
1788352301,112
1788352302,112
1788352303,112
1788352304,113
1788352305,113
1788352306,111
1788352307,111
1788352308,111
1788352309,113
1788352310,112
1788352311,112
1788352312,111
1788352313,110
1788352314,110
1788352315,111
1788352316,110
1788352317,110
1788352318,108
1788352320,109
1788352321,109
1788352322,111
1788352323,110
1788352324,110
1788352325,111
1788352326,109
1788352327,109
1788352328,109
1788352329,109
1788352330,109
1788352331,109
1788352332,110
1788352333,110
1788352334,110
1788352335,110
1788352336,110
1788352337,111
1788352338,109
1788352339,109
1788352340,109
1788352341,109
1788352342,109
1788352343,111
1788352344,110
1788352345,110
1788352346,108
1788352347,110
1788352348,109
1788352349,109
1788352350,109
1788352351,99
1788352352,99
1788352353,110
1788352354,112
1788352355,112
1788352356,110
1788352357,110
1788352358,110
1788352359,110
1788352360,111
1788352361,111
1788352362,110
1788352363,110
1788352364,110
1788352365,111
1788352366,110
1788352367,110
1788352368,109
1788352369,110
1788352370,110
1788352371,110
1788352372,109
1788352373,109
1788352374,112
1788352375,109
1788352376,109
1788352377,111
1788352378,109
1788352379,109
1788352380,109
1788352381,108
1788352382,108
1788352383,110
1788352384,109
1788352385,109
1788352386,110
1788352387,109
1788352388,109
1788352389,110
1788352390,111
1788352391,111
1788352392,109
1788352393,112
1788352394,108
1788352395,108
1788352396,110
1788352397,109
1788352398,109
1788352399,100
1788352400,107
1788352401,107
1788352402,109
1788352403,110
1788352404,110
1788352405,110
1788352406,110
1788352407,110
1788352408,109
1788352410,111
1788352411,111
1788352412,111
1788352413,111
1788352414,111
1788352415,109
1788352416,110
1788352417,110
1788352418,112
1788352419,111
1788352420,111
1788352421,109
1788352422,109
1788352423,109
1788352424,110
1788352425,109
1788352426,109
1788352427,109
1788352428,110
1788352429,110
1788352430,110
1788352431,108
1788352432,108
1788352433,110
1788352434,109
1788352435,109
1788352436,110
1788352437,111
1788352438,111
1788352439,110
1788352440,108
1788352441,108
1788352442,109
1788352443,108
1788352444,110
1788352445,110
1788352446,108
1788352447,110
1788352448,110
1788352449,109
1788352450,100
1788352451,100
1788352452,109
1788352453,109
1788352454,109
1788352455,112
1788352456,112
1788352457,112
1788352458,109
1788352459,110
1788352460,110
1788352461,110
1788352462,110
1788352463,110
1788352464,110
1788352465,110
1788352466,110
1788352467,111
1788352468,110
1788352469,110
1788352470,110
1788352471,110
1788352472,110
1788352473,109
1788352474,110
1788352475,109
1788352476,109
1788352477,110
1788352478,109
1788352479,109
1788352480,109
1788352481,107
1788352482,107
1788352483,108
1788352484,109
1788352486,109
1788352487,109
1788352488,110
1788352489,110
1788352490,110
1788352491,109
1788352492,109
1788352493,110
1788352494,108
1788352495,108
1788352496,109
1788352497,109
1788352498,109
1788352499,109
1788352500,110
1788352501,110
1788352502,109
1788352503,110
1788352504,110
1788352505,109
1788352506,109
1788352507,109
1788352508,109
1788352509,110
1788352510,110
1788352511,111
1788352512,111
1788352513,111
1788352514,111
1788352515,109
1788352516,109
1788352517,109
1788352518,108
1788352519,108
1788352520,110
1788352521,109
1788352522,108
1788352523,108
1788352524,109
1788352525,110
1788352526,110
1788352527,107
1788352528,109
1788352529,109
1788352530,108
1788352531,109
1788352532,109
1788352533,109
1788352534,109
1788352535,109
1788352536,107
1788352537,110
1788352538,110
1788352539,111
1788352540,110
1788352541,110
1788352542,109
1788352543,108
1788352544,108
1788352545,108
1788352546,108
1788352547,108
1788352548,109
1788352549,107
1788352550,107
1788352551,108
1788352552,109
1788352553,109
1788352554,109
1788352555,109
1788352556,109
1788352557,110
1788352558,108
1788352559,108
1788352560,109
1788352561,109
1788352562,109
1788352563,110
1788352564,112
1788352565,112
1788352566,108
1788352567,109
1788352568,111
1788352569,111
1788352570,109
1788352571,112
1788352572,112
1788352573,110
1788352574,109
1788352576,109
1788352577,110
1788352578,110
1788352579,110
1788352580,110
1788352581,109
1788352582,109
1788352583,108
1788352584,110
1788352585,110
1788352586,110
1788352587,109
1788352588,109
1788352589,109
1788352590,109
1788352591,109
1788352592,111
1788352593,108
1788352594,108
1788352595,111
1788352596,107
1788352597,107
1788352598,109
1788352599,109
1788352600,109
1788352601,108
1788352602,111
1788352603,111
1788352604,100
1788352605,111
1788352606,111
1788352607,111
1788352608,110
1788352609,110
1788352610,109
1788352611,110
1788352612,110
1788352613,111
1788352614,111
1788352615,111
1788352616,111
1788352617,109
1788352618,111
1788352619,111
1788352620,110
1788352621,110
1788352622,110
1788352623,111
1788352624,110
1788352625,110
1788352626,109
1788352627,109
1788352628,109
1788352629,109
1788352630,110
1788352631,110
1788352632,110
1788352633,111
1788352634,111
1788352635,109
1788352636,111
1788352637,111
1788352638,110
1788352639,111
1788352640,111
1788352641,109
1788352642,110
1788352643,110
1788352644,110
1788352645,111
1788352646,111
1788352647,108
1788352648,109
1788352649,109
1788352650,109
1788352651,110
1788352652,110
1788352653,109
1788352654,110
1788352655,110
1788352656,98
1788352657,110
1788352658,110
1788352659,110
1788352660,111
1788352661,109
1788352662,109
1788352663,111
1788352665,109
1788352666,109
1788352667,110
1788352668,112
1788352669,112
1788352670,110
1788352671,111
1788352672,111
1788352673,110
1788352674,110
1788352675,110
1788352676,111
1788352677,111
1788352678,111
1788352679,108
1788352680,110
1788352681,110
1788352682,112
1788352683,109
1788352684,109
1788352685,110
1788352686,109
1788352687,109
1788352688,110
1788352689,108
1788352690,108
1788352691,109
1788352692,109
1788352693,109
1788352694,109
1788352695,110
1788352696,110
1788352697,110
1788352698,109
1788352699,109
1788352700,112
1788352701,111
1788352702,111
1788352703,110
1788352704,109
1788352705,109
1788352706,109
1788352707,110
1788352708,110
1788352709,110
1788352710,109
1788352711,110
1788352712,110
1788352713,109
1788352714,111
1788352715,111
1788352716,111
1788352717,110
1788352718,110
1788352719,110
1788352720,110
1788352721,110
1788352722,109
1788352723,110
1788352724,110
1788352725,109
