timestamp,power_w
1788963970,31
1788963971,49
1788963972,46
1788963973,42
1788963974,42
1788963975,42
1788963976,42
1788963977,42
1788963978,42
1788963979,42
1788963980,42
1788963981,42
1788963982,50
1788963983,50
1788963984,153
1788963985,155
1788963986,155
1788963987,154
1788963988,159
1788963989,159
1788963990,154
1788963991,153
1788963992,153
1788963993,152
1788963994,152
1788963995,152
1788963996,149
1788963997,149
1788963998,149
1788963999,47
1788964000,158
1788964001,158
1788964002,155
1788964003,154
1788964004,154
1788964005,156
1788964006,155
1788964007,155
1788964008,151
1788964009,154
1788964010,154
1788964011,155
1788964012,155
1788964013,155
1788964014,153
1788964015,155
1788964016,155
1788964017,152
1788964018,149
1788964019,157
1788964020,157
1788964021,154
1788964022,155
1788964023,155
1788964024,156
1788964025,154
1788964027,154
1788964028,154
1788964029,154
1788964030,154
1788964031,151
1788964032,149
1788964033,149
1788964034,150
1788964035,154
1788964036,154
1788964037,152
1788964038,152
1788964039,152
1788964040,154
1788964041,151
1788964042,151
1788964043,147
1788964044,155
1788964045,155
1788964046,155
1788964047,154
1788964048,154
1788964049,152
1788964050,155
1788964051,155
1788964052,153
1788964053,155
1788964054,155
1788964055,155
1788964056,155
1788964057,155
1788964058,155
1788964059,153
1788964060,153
1788964061,154
1788964062,153
1788964063,153
1788964064,152
1788964065,149
1788964066,159
1788964067,159
1788964068,156
1788964069,157
1788964070,157
1788964071,154
1788964072,155
1788964073,155
1788964074,154
1788964075,153
1788964076,153
1788964077,156
1788964078,154
1788964079,154
1788964080,153
1788964081,154
1788964082,154
1788964083,150
1788964084,152
1788964085,152
1788964086,153
1788964087,152
1788964088,152
1788964089,150
1788964090,157
1788964091,157
1788964092,155
1788964093,154
1788964094,154
1788964095,154
1788964096,156
1788964097,156
1788964098,155
1788964099,154
1788964100,154
1788964101,154
1788964102,155
1788964103,155
1788964104,154
1788964105,155
1788964106,155
1788964107,153
1788964108,152
1788964109,152
1788964110,152
1788964111,154
1788964112,157
1788964113,157
1788964114,158
1788964115,158
1788964117,158
1788964118,157
1788964119,156
1788964120,156
1788964121,157
1788964122,154
1788964123,154
1788964124,153
1788964125,153
1788964126,153
1788964127,156
1788964128,154
1788964129,154
1788964130,154
1788964131,159
1788964132,159
1788964133,157
1788964134,159
1788964135,159
1788964136,155
1788964137,155
1788964138,155
1788964139,153
1788964140,152
1788964141,152
1788964142,154
1788964143,153
1788964144,153
1788964145,153
1788964146,152
1788964147,152
1788964148,152
1788964149,159
1788964150,159
1788964151,157
1788964152,157
1788964153,157
1788964154,157
1788964155,154
1788964156,154
1788964157,155
1788964158,153
1788964159,154
1788964160,154
1788964161,155
1788964162,156
1788964163,156
1788964164,151
1788964165,155
1788964166,155
1788964167,153
1788964168,152
1788964169,152
1788964170,151
1788964171,156
1788964172,156
1788964173,158
1788964174,159
1788964175,159
1788964176,158
1788964177,156
1788964178,156
1788964179,154
1788964180,157
1788964181,157
1788964182,152
1788964183,155
1788964184,155
1788964185,154
1788964186,155
1788964187,155
1788964188,150
1788964189,150
1788964190,150
1788964191,156
1788964192,155
1788964193,155
1788964194,153
1788964195,157
1788964196,157
1788964197,156
1788964198,155
1788964199,155
1788964200,153
1788964201,155
1788964202,155
1788964203,153
1788964204,153
1788964206,154
1788964207,154
1788964208,152
1788964209,155
1788964210,155
1788964211,155
1788964212,155
1788964213,155
1788964214,156
1788964215,156
1788964216,156
1788964217,155
1788964218,156
1788964219,156
1788964220,155
1788964221,157
1788964222,157
1788964223,154
1788964224,151
1788964225,151
1788964226,151
1788964227,155
1788964228,155
1788964229,152
1788964230,152
1788964231,152
1788964232,153
1788964233,149
1788964234,149
1788964235,160
1788964236,154
1788964237,154
1788964238,157
1788964239,155
1788964240,155
1788964241,156
1788964242,154
1788964243,154
1788964244,154
1788964245,155
1788964246,155
1788964247,152
1788964248,150
1788964249,150
1788964250,154
1788964251,151
1788964252,151
1788964253,151
1788964254,150
1788964255,157
1788964256,157
1788964257,158
1788964258,160
1788964259,160
1788964260,157
1788964261,157
1788964262,157
1788964263,157
1788964264,154
1788964265,154
1788964266,154
1788964267,152
1788964268,152
1788964269,152
1788964270,152
1788964271,152
1788964272,153
1788964273,151
1788964274,151
1788964275,158
1788964276,155
1788964277,155
1788964278,158
1788964279,154
1788964280,154
1788964281,153
1788964282,149
1788964283,149
1788964284,152
1788964285,154
1788964286,154
1788964287,152
1788964288,154
1788964289,154
1788964290,153
1788964291,154
1788964292,154
1788964293,153
1788964294,149
1788964296,149
1788964297,156
1788964298,155
1788964299,156
1788964300,156
1788964301,155
1788964302,159
1788964303,159
1788964304,156
1788964305,154
1788964306,154
1788964307,152
1788964308,158
1788964309,158
1788964310,157
1788964311,155
1788964312,155
1788964313,154
1788964314,156
1788964315,156
1788964316,157
1788964317,155
1788964318,155
1788964319,152
1788964320,154
1788964321,154
1788964322,154
1788964323,155
1788964324,155
1788964325,155
1788964326,152
1788964327,152
1788964328,155
1788964329,154
1788964330,154
1788964331,155
1788964332,152
1788964333,152
1788964334,156
1788964335,158
1788964336,158
1788964337,155
1788964338,158
1788964339,158
1788964340,159
1788964341,153
1788964342,156
1788964343,156
1788964344,155
1788964345,154
1788964346,154
1788964347,155
1788964348,154
1788964349,154
1788964350,160
1788964351,155
1788964352,155
1788964353,157
1788964354,157
1788964355,157
1788964356,156
1788964357,157
1788964358,157
1788964359,155
1788964360,153
1788964361,153
1788964362,155
1788964363,154
1788964364,154
1788964365,152
1788964366,154
1788964367,154
1788964368,151
1788964369,154
1788964370,154
1788964371,151
1788964372,152
1788964373,152
1788964374,151
1788964375,159
1788964376,159
1788964377,161
1788964378,160
1788964379,160
1788964380,158
1788964382,155
1788964383,155
1788964384,156
1788964385,156
1788964386,156
1788964387,156
1788964388,156
1788964389,155
1788964390,155
1788964391,152
1788964392,152
1788964393,152
1788964394,153
1788964395,155
1788964396,155
1788964397,152
1788964398,153
1788964399,153
1788964400,152
1788964401,152
1788964402,152
1788964403,149
1788964404,148
1788964405,148
1788964406,155
1788964407,159
1788964408,159
1788964409,156
1788964410,157
1788964411,157
1788964412,152
1788964413,156
1788964414,156
1788964415,156
1788964416,154
1788964417,154
1788964418,151
1788964419,154
1788964420,154
1788964421,155
1788964422,154
1788964423,154
1788964424,156
1788964425,155
1788964426,155
1788964427,154
1788964428,155
1788964429,155
1788964430,153
1788964431,151
1788964432,151
1788964433,159
1788964434,157
1788964435,156
1788964436,156
1788964437,156
1788964438,157
1788964439,157
1788964440,157
1788964441,157
1788964442,157
1788964443,156
1788964444,155
1788964445,155
1788964446,155
1788964447,151
1788964448,151
1788964449,152
1788964450,151
1788964451,151
1788964452,154
1788964453,153
1788964454,153
1788964455,153
1788964456,152
1788964457,152
1788964458,159
1788964459,157
1788964460,157
1788964461,157
1788964462,157
1788964463,157
1788964464,155
