timestamp,freq_khz_max,freq_khz_mean,freq_khz_pcore_max
1789311042,4782090,2339254,4800000
1789311043,4826229,2381457,4800000
1789311044,4786230,2129045,4786230
1789311045,4800000,1803175,4792991
1789311046,4800206,1859781,4795936
1789311047,4800000,1405125,4754215
1789311048,4800000,1869854,4809876
1789311049,4800000,1592089,4800000
1789311050,4800000,1801712,4787165
1789311051,4800000,2541938,4797428
1789311052,4785232,2169295,4800000
1789311053,4765422,1657719,4700000
1789311054,4746090,1656870,4700000
1789311055,4796615,1996407,4800000
1789311056,4800274,2334207,4799330
1789311057,4800000,1667366,4809039
1789311058,4800000,1604342,4800000
1789311059,4510819,1390575,4800000
1789311060,4736622,1401844,4800000
1789311061,4621461,1530040,4800000
1789311062,4800000,1666021,4800000
1789311063,4800000,1599812,4819591
1789311064,4800444,2198193,4798277
1789311065,4800000,1863694,4800000
1789311066,4800183,1863670,4800000
1789311068,4800000,1604892,4800000
1789311069,4800000,1604169,4800000
1789311070,4782321,1987064,4793254
1789311071,4800000,1605087,4800000
1789311072,4800000,1799147,4800000
1789311073,4766514,1828802,4790429
1789311074,4800660,2058637,4800000
1789311075,4800000,1740011,4800000
1789311076,4800000,1604924,4800000
1789311077,4800000,1668728,4700000
1789311078,4800000,1540057,4800000
1789311079,4800000,1861155,4800000
1789311080,4800082,1591288,4800082
1789311081,4800000,1993533,4800000
1789311082,4799558,1404810,4811822
1789311083,4792984,1857448,4800000
1789311084,4800403,1405566,4800000
1789311085,4800000,1405029,4800000
1789311086,4800121,1805713,4800000
1789311087,4700000,3025264,4680116
1789311088,4690794,2779888,4507031
1789311089,4504269,2905770,4503829
1789311090,4506281,2720563,4500000
1789311091,4700682,2904830,4700000
1789311092,4500045,2769731,4500000
1789311093,4684566,3573572,4605410
1789311094,4500060,2770357,4677294
1789311095,4504253,3410286,4500000
1789311096,4702937,3415305,4700000
1789311097,4519445,3412304,4519445
1789311098,4700000,3284079,4507563
1789311099,4500607,3275302,4500000
1789311100,4700000,2906102,4577890
1789311101,4506293,2955505,4507950
1789311102,4682968,3284263,4500000
1789311103,4515789,3411371,4592158
1789311104,4704947,3582893,4682807
1789311105,4678525,3261514,4518085
1789311106,4653635,2913043,4695821
1789311107,4712176,3427586,4584806
1789311108,4500045,2770184,4500045
1789311109,4546425,3142652,4546425
1789311110,4700000,2965115,4700000
1789311111,4640893,2974168,4640893
1789311112,4698350,3130832,4504707
1789311113,4682574,2808066,4504514
1789311114,4500000,2719470,4500000
1789311115,4500628,3039927,4500045
1789311116,4700000,3292373,4700000
1789311117,4586430,3094092,4586430
1789311118,4500000,2449701,4500000
1789311119,4700000,3464788,4683098
1789311120,4701768,2527297,4700047
1789311121,4507978,3090670,4507588
1789311122,4500000,2720435,4617722
1789311123,4629468,3096506,4500045
1789311124,4700000,3274918,4589655
1789311125,4733394,3003205,4664464
1789311126,4682084,3263463,4682193
1789311127,4701268,3413740,4700000
1789311128,4501185,2954975,4500045
1789311129,4700000,3332048,4700000
1789311130,4698128,3266723,4606473
1789311131,4679000,3595319,4700047
1789311132,4500000,3273770,4507097
1789311133,4699297,2891778,4500000
1789311134,4698489,3193523,4581017
1789311135,4707912,3095215,4688344
1789311136,4685111,3387840,4552572
1789311137,4700000,3094603,4647620
1789311138,4678248,3458282,4661748
1789311139,4684024,3084403,4687752
1789311140,4500000,2855594,4507575
1789311141,4587903,2856058,4606836
1789311142,4700000,2914953,4700000
1789311143,4696061,3379629,4696061
1789311144,4598297,3230442,4674648
1789311145,4645292,3113440,4632657
1789311146,4779493,3285137,4704737
1789311147,4700000,3325164,4691070
1789311148,4682731,3455394,4693798
1789311149,4650957,3236152,4503745
1789311150,4715457,3335448,4667846
1789311151,4559656,3092744,4507679
1789311152,4500000,2955399,4500905
1789311153,4700047,3145991,4700000
1789311154,4687854,2948060,4700000
1789311155,4700000,3786161,4700000
1789311156,4700000,3373292,4569527
1789311157,4700884,2816381,4700000
1789311158,4655922,2745779,4611920
1789311159,4800000,3460719,4649178
1789311160,4500045,2904136,4683630
1789311161,4682763,3644187,4643068
1789311162,4500045,2905626,4596390
1789311163,4683620,3325168,4701299
1789311164,4679138,3341580,4654859
1789311165,4625600,3181712,4625600
1789311166,4511523,3089899,4560588
1789311167,4700000,3685756,4700047
1789311168,4708318,2775706,4700000
1789311169,4687066,2941929,4513636
1789311170,4678932,3310744,4685720
1789311171,4700762,2963354,4700762
1789311172,4682929,3265349,4685040
1789311173,4719055,2963517,4719055
1789311174,4675691,3315090,4610237
1789311175,4693376,3105108,4500761
1789311176,4508078,2955853,4508078
1789311177,4700047,2945508,4639099
1789311179,4697284,3130229,4591448
1789311180,4676808,2940205,4603149
1789311181,4682104,3076513,4679219
1789311182,4683019,2620969,4700000
1789311183,4517110,2898311,4693165
1789311184,4636755,3233643,4636755
1789311185,4700945,3085107,4700000
1789311186,4700047,3148717,4656909
1789311187,4700000,2903860,4699672
1789311188,4500771,2585099,4508571
1789311189,4654742,3048808,4500147
