timestamp,power_w
1789311043,36
1789311044,56
1789311045,56
1789311046,42
1789311047,42
1789311048,42
1789311049,42
1789311050,42
1789311051,42
1789311052,42
1789311053,42
1789311054,42
1789311055,42
1789311056,42
1789311057,42
1789311058,42
1789311059,42
1789311060,42
1789311061,43
1789311062,42
1789311063,42
1789311064,42
1789311065,43
1789311066,43
1789311067,44
1789311068,43
1789311069,42
1789311070,42
1789311071,44
1789311072,44
1789311074,44
1789311075,44
1789311076,43
1789311077,43
1789311078,43
1789311079,43
1789311080,43
1789311081,43
1789311082,43
1789311083,43
1789311084,43
1789311085,43
1789311086,43
1789311087,43
1789311088,106
1789311089,106
1789311090,139
1789311091,142
1789311092,142
1789311093,140
1789311094,142
1789311095,142
1789311096,142
1789311097,141
1789311098,141
1789311099,141
1789311100,141
1789311101,141
1789311102,141
1789311103,143
1789311104,143
1789311105,139
1789311106,113
1789311107,113
1789311108,140
1789311109,141
1789311110,141
1789311111,142
1789311112,140
1789311113,140
1789311114,140
1789311115,138
1789311116,143
1789311117,143
1789311118,144
1789311119,144
1789311120,144
1789311121,143
1789311122,144
1789311123,144
1789311124,142
1789311125,141
1789311126,141
1789311127,142
1789311128,144
1789311129,144
1789311130,139
1789311131,143
1789311132,143
1789311133,143
1789311134,141
1789311135,141
1789311136,144
1789311137,143
1789311138,143
1789311139,142
1789311140,144
1789311141,144
1789311142,145
1789311143,143
1789311144,143
1789311145,144
1789311146,134
1789311147,134
1789311148,144
1789311149,142
1789311150,142
1789311151,146
1789311152,144
1789311153,144
1789311154,142
1789311155,141
1789311156,141
1789311157,144
1789311158,143
1789311159,143
1789311160,143
1789311161,139
1789311163,145
1789311164,145
1789311165,146
1789311166,144
1789311167,144
1789311168,142
1789311169,147
1789311170,147
1789311171,146
1789311172,145
1789311173,145
1789311174,142
1789311175,141
1789311176,141
1789311177,145
1789311178,138
1789311179,138
1789311180,145
1789311181,145
1789311182,145
1789311183,144
1789311184,143
1789311185,143
1789311186,144
1789311187,144
1789311188,144
1789311189,143
1789311190,143
1789311191,143
1789311192,143
1789311193,144
1789311194,144
1789311195,144
1789311196,140
1789311197,140
1789311198,145
1789311199,146
1789311200,146
1789311201,145
1789311202,144
1789311203,144
1789311204,144
1789311205,142
1789311206,142
1789311207,141
1789311208,144
1789311209,143
1789311210,143
1789311211,143
1789311212,138
1789311213,138
1789311214,141
1789311215,143
1789311216,143
1789311217,145
1789311218,147
1789311219,147
1789311220,144
1789311221,144
1789311222,144
1789311223,145
1789311224,144
1789311225,144
1789311226,142
1789311227,143
1789311228,143
1789311229,144
1789311230,144
1789311231,144
1789311232,144
1789311233,141
1789311234,141
1789311235,141
1789311236,143
1789311237,143
1789311238,145
1789311239,144
1789311240,144
1789311241,144
1789311242,145
1789311243,145
1789311244,143
1789311245,145
1789311246,145
1789311247,146
1789311248,145
1789311249,145
1789311250,143
1789311251,144
1789311252,144
1789311254,144
1789311255,142
1789311256,145
1789311257,145
1789311258,144
1789311259,144
1789311260,144
1789311261,143
1789311262,145
1789311263,145
1789311264,147
1789311265,145
1789311266,145
1789311267,145
1789311268,146
1789311269,146
1789311270,147
1789311271,144
1789311272,144
1789311273,145
1789311274,146
1789311275,146
1789311276,146
1789311277,147
1789311278,147
1789311279,144
1789311280,142
1789311281,142
1789311282,146
1789311283,142
1789311284,142
1789311285,145
1789311286,142
1789311287,142
1789311288,143
1789311289,140
1789311290,140
1789311291,144
1789311292,147
1789311293,147
1789311294,143
1789311295,146
1789311296,146
1789311297,144
1789311298,144
1789311299,144
1789311300,144
1789311301,142
1789311302,145
1789311303,145
1789311304,145
1789311305,147
1789311306,147
1789311307,142
1789311308,142
