timestamp,power_w
1789136824,63
1789136825,66
1789136826,66
1789136827,65
1789136828,171
1789136829,171
1789136830,153
1789136831,152
1789136832,152
1789136834,152
1789136835,152
1789136836,152
1789136837,149
1789136838,153
1789136839,153
1789136840,154
1789136841,151
1789136842,151
1789136843,150
1789136844,149
1789136845,151
1789136846,151
1789136847,149
1789136848,150
1789136849,150
1789136850,152
1789136851,153
1789136852,153
1789136853,149
1789136854,151
1789136855,151
1789136856,153
1789136857,154
1789136858,154
1789136859,151
1789136860,150
1789136861,150
1789136862,152
1789136863,152
1789136864,152
1789136865,151
1789136866,152
1789136867,152
1789136868,150
1789136869,152
1789136870,152
1789136871,148
1789136872,154
1789136873,154
1789136874,155
1789136875,152
1789136876,152
1789136877,152
1789136878,142
1789136879,142
1789136880,151
1789136881,147
1789136882,147
1789136883,150
1789136884,149
1789136885,149
1789136886,153
1789136887,150
1789136888,150
1789136889,149
1789136890,151
1789136891,152
1789136892,152
1789136893,153
1789136894,152
1789136895,152
1789136896,150
1789136897,152
1789136898,152
1789136899,153
1789136900,147
1789136901,147
1789136902,150
1789136903,151
1789136904,151
1789136905,152
1789136906,155
1789136907,155
1789136908,153
1789136909,152
1789136910,152
1789136911,151
1789136912,152
1789136913,152
1789136914,151
1789136915,153
1789136916,153
1789136917,154
1789136918,155
1789136919,155
1789136920,152
1789136921,154
1789136923,154
1789136924,153
1789136925,156
1789136926,156
1789136927,152
1789136928,151
1789136929,151
1789136930,151
1789136931,153
1789136932,153
1789136933,152
1789136934,152
1789136935,152
1789136936,151
1789136937,154
1789136938,147
1789136939,147
1789136940,152
1789136941,150
1789136942,150
1789136943,153
1789136944,154
1789136945,154
1789136946,151
1789136947,153
1789136948,153
1789136949,154
1789136950,153
1789136951,153
1789136952,154
1789136953,154
1789136954,154
1789136955,153
1789136956,156
1789136957,156
1789136958,156
1789136959,153
1789136960,153
1789136961,154
1789136962,153
1789136963,153
1789136964,150
1789136965,155
1789136966,155
1789136967,151
1789136968,153
1789136969,153
1789136970,153
1789136971,150
1789136972,150
1789136973,153
1789136974,155
1789136975,155
1789136976,153
1789136977,153
1789136978,153
1789136979,152
1789136980,156
1789136981,156
1789136982,150
1789136983,150
1789136984,152
1789136985,152
1789136986,150
1789136987,150
1789136988,150
1789136989,155
1789136990,152
1789136991,152
1789136992,154
1789136993,153
1789136994,153
1789136995,153
1789136996,153
1789136997,153
1789136998,154
1789136999,154
1789137000,154
1789137001,154
1789137002,155
1789137003,155
1789137004,154
1789137005,156
1789137006,156
1789137007,152
1789137008,153
1789137009,153
1789137011,155
1789137012,158
1789137013,158
1789137014,152
1789137015,157
1789137016,157
1789137017,153
1789137018,151
1789137019,151
1789137020,151
1789137021,152
1789137022,152
1789137023,153
1789137024,153
1789137025,153
1789137026,158
1789137027,151
1789137028,151
1789137029,157
1789137030,156
1789137031,153
1789137032,153
1789137033,155
1789137034,153
1789137035,153
1789137036,144
1789137037,150
1789137038,150
1789137039,152
1789137040,155
1789137041,155
1789137042,152
1789137043,148
1789137044,148
1789137045,152
1789137046,149
1789137047,149
1789137048,150
1789137049,154
1789137050,154
1789137051,154
1789137052,152
1789137053,152
1789137054,149
1789137055,153
1789137056,153
1789137057,152
1789137058,153
1789137059,153
1789137060,152
1789137061,154
1789137062,154
1789137063,153
1789137064,150
1789137065,150
1789137066,154
1789137067,151
1789137068,159
1789137069,159
1789137070,154
1789137071,149
1789137072,149
1789137073,156
1789137074,151
1789137075,151
1789137076,141
1789137077,150
1789137078,150
1789137079,154
1789137080,153
1789137081,153
1789137082,155
1789137083,150
1789137084,150
1789137085,153
1789137086,151
1789137087,151
1789137088,150
1789137089,152
1789137090,152
1789137092,156
1789137093,153
1789137094,153
1789137095,154
1789137096,152
1789137097,152
1789137098,152
1789137099,153
1789137100,153
1789137101,152
1789137102,153
1789137103,153
1789137104,156
1789137105,153
1789137106,153
1789137107,155
1789137108,154
1789137109,154
1789137110,153
1789137111,152
1789137112,152
1789137113,153
1789137114,152
1789137115,153
1789137116,153
1789137117,151
1789137118,154
1789137119,154
1789137120,155
1789137121,154
1789137122,154
1789137123,144
1789137124,153
1789137125,153
1789137126,152
1789137127,151
1789137128,151
1789137129,149
1789137130,152
1789137131,152
1789137132,151
1789137133,151
1789137134,151
1789137135,152
1789137136,153
1789137137,153
1789137138,153
1789137139,155
1789137140,155
