Running for 60.0 seconds (60 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
15:18:52   8.5   0.0   1.0  87.8   2.8    7   4936   5640   89    1   70  66.71 
15:18:53  28.9   0.0   0.3  70.8   0.0    8  10538  15954  570    0  570 154.17 
15:18:54  28.9   0.0   0.4  70.8   0.0    7   9738  15715  555    0  555 155.63 
15:18:55  29.0   0.0   0.3  70.8   0.0    7  11022  16762  540    0  540 157.49 
15:18:56  27.1   0.0   0.4  70.5   2.0    7  10204  15861  512    2  512 148.43 
15:18:57  28.9   0.0   0.5  70.7   0.0    7  10020  16365  565    0  565 155.71 
15:18:58  29.0   0.0   0.4  70.7   0.0    7  10187  16388  545    0  545 154.99 
15:18:59  26.8   0.0   0.4  72.8   0.0    7  10101  15684  519    2  517 146.14 
15:19:00  29.2   0.0   0.3  70.5   0.0    7   9831  15852  560    0  560 156.73 
15:19:01  29.1   0.0   0.3  70.6   0.0    7  10548  16217  550    0  550 159.32 
15:19:02  27.0   0.0   0.4  72.5   0.1    7  10461  15519  502    2  502 149.45 
15:19:03  29.0   0.0   0.4  70.7   0.0    7  10501  16435  565    0  565 157.18 
15:19:04  27.3   0.0   0.2  72.4   0.0    7  10389  15590  507    2  507 149.10 
15:19:05  28.9   0.0   0.2  70.9   0.0    7  10395  16352  565    0  565 156.85 
15:19:06  28.9   0.0   0.3  70.8   0.0    8  10357  16217  555    0  555 158.51 
15:19:07  29.0   0.0   0.2  70.8   0.1    7  10313  16118  545    0  545 158.90 
15:19:08  28.9   0.0   0.3  70.7   0.1    7  10285  15756  530    0  530 159.20 
15:19:09  27.0   0.0   0.4  72.7   0.0    8  10253  15654  522    2  522 150.55 
15:19:10  29.3   0.0   0.2  70.5   0.0    7  10422  16334  560    0  560 158.10 
15:19:11  28.9   0.0   0.4  70.7   0.1    7  10321  16391  540    0  540 158.54 
15:19:12  27.0   0.0   0.4  72.7   0.0    8  10016  15629  512    2  512 150.59 
15:19:13  28.9   0.0   0.3  70.8   0.0    7  10345  16322  560    0  560 157.06 
15:19:14  29.0   0.0   0.3  70.6   0.1    7  10763  16551  550    0  550 159.56 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
15:19:15  26.9   0.0   0.3  72.9   0.0    8   9613  15099  517    2  517 150.96 
15:19:16  29.0   0.0   0.3  70.7   0.0    7  10292  16031  560    0  560 158.93 
15:19:17  29.0   0.0   0.3  70.7   0.0    9   9566  15778  548    0  550 160.07 
15:19:18  29.0   0.0   0.4  70.6   0.0    7  10211  15823  537    0  535 162.73 
15:19:19  27.1   0.0   0.3  72.6   0.0    7  10152  15731  523    2  522 151.37 
15:19:20  29.1   0.0   0.3  70.7   0.0    7  10453  16313  565    0  565 163.30 
15:19:21  27.0   0.0   0.3  72.6   0.2    7  10356  15602  522    2  522 154.93 
15:19:22  28.9   0.0   0.3  70.9   0.0    7  10083  15766  565    0  565 160.71 
15:19:23  29.1   0.0   0.3  70.6   0.0    7  10060  16491  550    0  550 160.44 
15:19:24  29.1   0.0   0.3  70.5   0.0    7  11071  16862  545    0  545 163.43 
15:19:25  26.9   0.0   0.4  72.8   0.0    7   9815  15482  512    2  512 152.15 
15:19:26  28.9   0.0   0.3  70.8   0.0    7  10017  15884  560    0  560 160.20 
15:19:27  28.9   0.0   0.4  70.3   0.3    8  10581  16718  550    0  550 161.60 
15:19:28  27.0   0.0   0.4  72.7   0.0    7  10340  15589  522    2  522 152.93 
15:19:29  29.1   0.0   0.3  70.6   0.0    7  10919  16199  570    0  570 165.00 
15:19:30  28.9   0.0   0.4  70.8   0.0    7  10693  16093  545    0  545 162.19 
15:19:31  27.8   0.0   0.3  71.9   0.0    2  10899  16033  512    2  517 159.81 
15:19:32  28.0   0.0   0.5  71.5   0.0    7  10272  15640  550    0  545 157.50 
15:19:33  28.9   0.0   0.4  70.5   0.2    7  10340  16398  555    0  555 160.91 
15:19:34  29.0   0.0   0.3  70.7   0.0    7  10099  15935  545    0  545 160.73 
15:19:35  27.1   0.0   0.4  72.5   0.0    7  10386  16126  522    2  522 154.85 
15:19:36  28.7   0.0   0.5  70.8   0.0    7   9947  16837  560    0  560 160.72 
15:19:37  27.1   0.0   0.3  72.6   0.0    7  10226  16197  507    2  507 153.22 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
15:19:38  29.0   0.0   0.3  70.8   0.0    7  10855  17358  565    0  565 161.67 
15:19:39  28.9   0.0   0.4  70.8   0.0    7  10344  16266  555    0  555 162.61 
15:19:40  29.0   0.0   0.4  70.6   0.1    7  10369  15762  540    0  540 163.15 
15:19:41  26.7   0.0   0.4  73.0   0.0    7   9978  14920  502    2  502 154.23 
15:19:42  28.9   0.0   0.3  70.8   0.0    7  10197  15917  565    0  565 162.62 
15:19:43  28.9   0.0   0.3  70.7   0.1    8  10800  16337  550    0  550 163.30 
15:19:44  27.9   0.0   0.4  71.8   0.0    2   9784  15601  512    2  517 156.11 
15:19:45  28.2   0.0   0.3  71.5   0.0    7  10107  15774  550    0  545 156.60 
15:19:46  29.1   0.0   0.2  70.7   0.0    7  10554  16386  555    0  555 161.81 
15:19:47  28.9   0.0   0.3  68.9   1.9    2   9693  15792  540    0  541 162.93 
15:19:48  29.1   0.0   0.3  70.7   0.0    7  10269  15590  535    0  534 162.42 
15:19:49  29.1   0.0   0.3  70.6   0.0    7   9806  15638  520    0  520 164.56 
15:19:50  29.1   0.0   0.2  70.7   0.0    7   9848  16123  510    0  510 164.85 
15:19:51  29.2   0.0   0.2  70.6   0.0    7   9078  15256  500    0  500 163.51 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average  28.1   0.0   0.3  71.4   0.1  6.9 10167.0 15844.2 532.6  0.6 532.3 156.47 
 GeoMean  27.9   0.0   0.3  71.4   0.0  6.7 10124.8 15735.0 523.8  0.0 521.7 155.67 
  StdDev   2.7   0.0   0.1   2.3   0.5  1.2  774.9 1400.1 61.3  0.9 63.5  12.55 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   8.5   0.0   0.2  68.9   0.0  2.0 4936.0 5640.0 89.0  0.0 70.0  66.71 
 Maximum  29.3   0.0   1.0  87.8   2.8  9.0 11071.0 17358.0 570.0  2.0 570.0 165.00 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU: 156.47 Watts on average with standard deviation 12.55 
Note: power read from RAPL domains: uncore, pkg-0, core.
These readings do not cover all the hardware in this device.
