Running for 600.0 seconds (600 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
14:33:20   2.4   0.0   2.9  94.8   0.0    3   3302   3013   16    6    7  48.67 
14:33:21   0.1   0.0   5.0  95.0   0.0    2   1435   2058    0    1    0  45.85 
14:33:22  27.9   0.0   0.4  71.7   0.0    7   1218   7775   37    6   32 188.90 
14:33:23  29.9   0.0   0.1  66.5   3.6    7   1220   8251   72    6   72 169.75 
14:33:24  29.9   0.0   0.1  70.0   0.0    7   1416   8286   72    6   72 171.48 
14:33:25  29.9   0.0   0.1  70.1   0.0    8   1419   8561   77    6   77 172.21 
14:33:26  29.9   0.0   0.1  70.1   0.0    7   1353   8495   72    6   72 173.73 
14:33:27  29.9   0.0   0.1  70.0   0.0    7   1746   8580   72    6   72 172.87 
14:33:28  29.9   0.0   0.1  70.0   0.0    7   1896   8676   77    6   77 175.25 
14:33:29  29.9   0.0   0.1  69.9   0.2    7   1733   8652   72    6   72 174.35 
14:33:30  29.9   0.0   0.1  70.0   0.0    7   1768   8710   72    6   72 175.69 
14:33:31  29.9   0.0   0.1  70.0   0.0    7   1433   8575   72    6   72 173.34 
14:33:32  29.9   0.0   0.1  70.0   0.0    7   1261   8236   72    6   72 174.55 
14:33:33  29.9   0.0   0.1  70.0   0.0    7   1219   8335   77    6   77 173.51 
14:33:34  29.9   0.0   0.1  70.1   0.0    7   1803   8679   72    6   72 174.18 
14:33:35  29.9   0.0   0.1  70.0   0.1    7   1788   8625   72    6   72 175.71 
14:33:36  29.9   0.0   0.1  70.0   0.0    7   1314   8371   72    6   72 174.80 
14:33:37  29.9   0.0   0.1  70.0   0.0    7   1291   8291   72    6   72 176.83 
14:33:38  29.9   0.0   0.1  70.0   0.0    7   1356   8360   72    6   72 174.33 
14:33:39  29.9   0.0   0.1  70.0   0.0    7   1618   8478   72    6   72 176.78 
14:33:40  29.9   0.0   0.1  70.0   0.0    7   1377   8215   72    6   72 177.89 
14:33:41  29.9   0.0   0.0  68.8   1.3    7   1462   8379   72    6   72 176.12 
