Time,CPU_Usage,RAM_Used_MB
03:09:50,5.3,1743
03:09:51,5.7,6046
03:09:53,29.9,6048
03:09:54,30.4,6046
03:09:55,30.2,6047
03:09:56,30.3,6048
03:09:57,29.9,6047
03:09:59,30.2,6040
03:10:00,30,6036
03:10:01,30.5,6028
03:10:02,29.9,6028
03:10:04,30,6022
03:10:05,30.7,6019
03:10:06,30.5,6017
03:10:07,30.1,6015
03:10:08,30.7,6017
03:10:10,30.2,6016
03:10:11,30,6016
03:10:12,30,6019
03:10:13,30,6021
03:10:15,30.7,6021
03:10:16,30.2,6021
03:10:17,30,6018
03:10:18,30.4,6011
03:10:19,30,6008
03:10:21,29.9,6009
03:10:22,30.4,6011
03:10:23,30,6012
03:10:24,30.5,6012
03:10:26,30,6010
03:10:27,30.7,6010
03:10:28,30.3,6011
03:10:29,30,6010
03:10:30,30.3,6011
03:10:32,30.5,6011
03:10:33,30,6010
03:10:34,30,6014
03:10:35,30.5,6017
03:10:37,30,6015
03:10:38,30.4,6014
03:10:39,30.4,6011
03:10:40,30.3,6012
03:10:41,30,6013
03:10:43,30.4,6012
03:10:44,30,6011
03:10:45,30.1,6014
03:10:46,29.9,6013
03:10:48,30.7,6011
03:10:49,30.3,6011
03:10:50,30.5,6009
03:10:51,30.2,6013
03:10:52,30,6013
03:10:54,30.7,6014
03:10:55,30.4,6015
03:10:56,30.7,6018
03:10:57,30,6012
03:10:59,30,6015
03:11:00,30.4,6014
03:11:01,30,6010
03:11:02,30.3,6010
03:11:03,30,6009
03:11:05,30.4,6010
03:11:06,30.4,6011
03:11:07,30.4,6010
03:11:08,30.4,6011
03:11:10,30,6011
03:11:11,30.3,6013
03:11:12,30.2,6015
03:11:13,30.2,6014
03:11:15,30.4,6015
03:11:16,30.8,6011
03:11:17,30.7,6015
03:11:18,30.1,6014
03:11:19,30.5,6013
03:11:21,30.2,6012
03:11:22,30.5,6014
03:11:23,30,6014
03:11:24,30.4,6011
03:11:26,30.3,6012
03:11:27,29.9,6014
03:11:28,30.4,6014
03:11:29,30,6015
03:11:30,30.4,6014
03:11:32,30.5,6015
03:11:33,30.1,6013
03:11:34,29.9,6012
03:11:35,30.3,6012
03:11:37,30.5,6012
03:11:38,30,6015
03:11:39,30.5,6013
03:11:40,30,6014
03:11:41,30,6013
03:11:43,30.2,6007
03:11:44,30,6007
03:11:45,30.4,6001
03:11:46,30.4,6003
03:11:48,30,6001
03:11:49,29.9,6003
03:11:50,30.7,6006
03:11:51,30.7,6003
03:11:52,30,5989
03:11:54,30,5989
03:11:55,30.4,5987
03:11:56,30.4,5990
03:11:57,30.5,5985
03:11:59,30.3,5986
03:12:00,30.3,5989
03:12:01,30.2,5990
03:12:02,29.9,5992
03:12:03,30.3,5991
03:12:05,30,5991
03:12:06,30.5,5994
03:12:07,30.3,5996
03:12:08,30.3,5994
03:12:10,30.2,5995
03:12:11,30.2,5995
03:12:12,30.3,5990
03:12:13,30,5990
03:12:14,30,5995
03:12:16,30.4,5992
03:12:17,30.4,5994
03:12:18,30.3,5991
03:12:19,30.5,5993
03:12:21,29.9,5994
03:12:22,30,5999
03:12:23,30.2,5999
03:12:24,30.3,5999
03:12:25,30.5,5997
03:12:27,30.2,5999
03:12:28,30.3,6000
03:12:29,30,5999
03:12:30,30,6003
03:12:32,30.5,6000
03:12:33,30,5998
03:12:34,29.9,6000
