Time,CPU_Usage,RAM_Used_MB
16:36:28,7.8,1309
16:36:29,5.8,4371
16:36:30,30.1,6600
16:36:32,30.2,6597
16:36:33,30.4,6597
16:36:34,30,6597
16:36:35,30.4,6597
16:36:36,30.7,6593
16:36:38,30,6591
16:36:39,30.2,6585
16:36:40,30,6582
16:36:41,30.7,6580
16:36:43,30.5,6577
16:36:44,30.4,6576
16:36:45,30,6577
16:36:46,30,6577
16:36:47,30.4,6577
16:36:49,30.4,6573
16:36:50,30.3,6574
16:36:51,30.4,6574
16:36:52,30.3,6573
16:36:54,30,6573
16:36:55,30,6575
16:36:56,30,6576
16:36:57,30,6577
16:36:59,30.7,6573
16:37:00,30.4,6574
16:37:01,30.4,6569
16:37:02,30.1,6566
16:37:03,30.5,6566
16:37:05,30.3,6566
16:37:06,30.3,6567
16:37:07,30.4,6572
16:37:08,30.5,6572
16:37:10,29.9,6568
16:37:11,30,6569
16:37:12,30,6570
16:37:13,29.9,6568
16:37:14,30.8,6568
16:37:16,29.9,6562
16:37:17,30,6556
16:37:18,30.7,6556
16:37:19,29.8,6554
16:37:21,30.5,6556
16:37:22,30.3,6558
16:37:23,29.9,6558
16:37:24,30.4,6559
16:37:25,29.7,6550
16:37:27,30.5,6546
16:37:28,30.7,6534
16:37:29,30.1,6528
16:37:30,30,6531
16:37:32,30,6533
16:37:33,30,6535
16:37:34,30,6536
16:37:35,29.9,6539
16:37:36,30.3,6540
16:37:38,30.4,6542
16:37:39,30.4,6542
16:37:40,30,6544
16:37:41,30.3,6545
16:37:43,30.5,6546
16:37:44,30.3,6548
16:37:45,30.7,6550
16:37:46,30.3,6550
16:37:47,30,6551
16:37:49,30.2,6552
16:37:50,30,6548
16:37:51,29.9,6548
16:37:52,30,6552
16:37:54,30.4,6548
16:37:55,30.2,6550
16:37:56,30,6552
16:37:57,30,6556
16:37:58,30,6556
16:38:00,30.4,6558
16:38:01,30.4,6560
16:38:02,30.3,6560
16:38:03,30,6561
16:38:05,30,6561
16:38:06,30.4,6561
16:38:07,30,6556
16:38:08,30.4,6554
16:38:09,30.4,6555
16:38:11,30,6557
16:38:12,30.4,6552
16:38:13,30.7,6552
16:38:14,30.2,6552
