Time,Watts_Physical
17:08:21,32
17:08:22,43
17:08:23,67
17:08:24,67
17:08:25,140
17:08:26,144
17:08:27,143
17:08:28,143
17:08:29,141
17:08:30,143
17:08:31,143
17:08:32,144
17:08:33,143
17:08:34,143
17:08:35,144
17:08:37,143
17:08:38,143
17:08:39,143
17:08:40,144
17:08:41,144
17:08:42,142
17:08:43,142
17:08:44,142
17:08:45,142
17:08:46,144
17:08:47,144
17:08:48,145
17:08:49,146
17:08:50,146
17:08:51,148
17:08:52,149
17:08:53,149
17:08:54,148
17:08:55,148
17:08:56,148
17:08:57,148
17:08:58,145
17:08:59,145
17:09:00,147
17:09:01,149
17:09:02,149
17:09:03,147
17:09:04,146
17:09:05,146
17:09:06,147
17:09:07,148
17:09:08,148
17:09:09,149
17:09:10,147
17:09:11,147
17:09:12,148
17:09:13,142
17:09:14,142
17:09:15,149
17:09:16,149
17:09:17,149
17:09:18,144
17:09:19,148
17:09:20,148
17:09:21,145
17:09:22,145
17:09:23,141
17:09:24,141
17:09:25,144
17:09:26,143
17:09:27,143
17:09:28,142
17:09:29,144
17:09:30,144
17:09:31,143
17:09:32,144
17:09:33,144
17:09:34,145
17:09:35,143
17:09:36,143
17:09:37,142
17:09:38,141
17:09:39,141
17:09:40,141
17:09:41,143
17:09:42,143
