Time,CPU_Usage,RAM_Used_MB
17:10:12,6.9,1605
17:10:14,6.2,4817
17:10:15,30.2,4823
17:10:16,30.2,4826
17:10:17,30.4,4828
17:10:18,30.1,4831
17:10:20,30.2,4835
17:10:21,30,4831
17:10:22,30.4,4827
17:10:23,30.2,4827
17:10:25,30.4,4824
17:10:26,30.2,4822
17:10:27,30.2,4817
17:10:28,30.7,4817
17:10:30,30.2,4814
17:10:31,30,4814
17:10:32,24.7,4817
17:10:33,30.3,4822
17:10:34,30.2,4822
17:10:36,30.2,4816
17:10:37,30.2,4815
17:10:38,30,4812
17:10:39,30.1,4813
17:10:41,30,4812
17:10:42,30.3,4814
17:10:43,30.4,4811
17:10:44,30.5,4813
17:10:45,30.4,4811
17:10:47,30.3,4809
17:10:48,30.5,4811
17:10:49,30,4813
17:10:50,30.3,4811
17:10:52,29.5,4814
17:10:53,29.9,4814
17:10:54,30.1,4812
17:10:55,30,4807
17:10:56,24.4,4810
17:10:58,30,4811
17:10:59,30.4,4815
17:11:00,30.2,4812
17:11:01,30.4,4810
17:11:03,30.4,4811
17:11:04,30,4811
17:11:05,30.4,4812
17:11:06,30.7,4815
17:11:07,30.2,4816
17:11:09,30.5,4817
17:11:10,30.7,4816
17:11:11,30.3,4817
17:11:12,30.2,4819
