Time,CPU_Usage,RAM_Used_MB
17:18:51,6.8,1621
17:18:52,5.3,5685
17:18:54,30.4,5697
17:18:55,30.7,5700
17:18:56,30,5701
17:18:57,30.8,5689
17:18:59,29.8,5686
17:19:00,30,5683
17:19:01,30.7,5684
17:19:02,29.9,5684
17:19:03,30.2,5675
17:19:05,31.6,5688
17:19:06,30,5692
17:19:07,30.2,5691
17:19:08,30.4,5687
17:19:10,30.7,5689
17:19:11,30.5,5690
17:19:12,30.2,5684
17:19:13,29.9,5683
17:19:15,30,5684
17:19:16,30,5685
17:19:17,30.2,5687
17:19:18,30.3,5684
17:19:19,30.5,5684
17:19:21,30,5681
17:19:22,30.3,5678
17:19:23,30.2,5680
17:19:24,30.3,5677
17:19:26,30,5678
17:19:27,30.3,5675
17:19:28,30.5,5670
17:19:29,30.7,5671
17:19:30,30.3,5674
17:19:32,29.8,5677
17:19:33,30,5681
17:19:34,30.3,5677
17:19:35,30.5,5678
17:19:37,30,5681
17:19:38,30.3,5678
17:19:39,30.5,5682
17:19:40,30,5685
17:19:41,30.2,5686
17:19:43,30.3,5687
17:19:44,30.5,5687
17:19:45,30.7,5688
17:19:46,30.3,5688
17:19:48,30.4,5685
17:19:49,30,5689
17:19:50,30.7,5692
17:19:51,30.3,5691
17:19:52,30.4,5693
17:19:54,29.9,5694
17:19:55,30.7,5694
17:19:56,30,5695
17:19:57,30.7,5697
17:19:59,30.7,5693
17:20:00,30,5693
17:20:01,30.1,5695
17:20:02,29.7,5695
