Time,Watts_Physical
17:18:51,53
17:18:52,63
17:18:53,63
17:18:54,60
17:18:55,170
17:18:56,170
17:18:57,157
17:18:58,157
17:18:59,157
17:19:00,157
17:19:01,159
17:19:02,159
17:19:03,158
17:19:04,159
17:19:05,163
17:19:06,163
17:19:07,163
17:19:08,159
17:19:09,159
17:19:10,161
17:19:11,159
17:19:12,159
17:19:13,160
17:19:14,160
17:19:15,160
17:19:16,161
17:19:17,161
17:19:18,161
17:19:19,161
17:19:20,161
17:19:21,161
17:19:22,161
17:19:23,162
17:19:24,162
17:19:25,160
17:19:26,161
17:19:27,161
17:19:28,161
17:19:29,162
17:19:30,162
17:19:31,162
17:19:33,163
17:19:34,163
17:19:35,160
17:19:36,161
17:19:37,161
17:19:38,161
17:19:39,163
17:19:40,163
17:19:41,161
17:19:42,162
17:19:43,162
17:19:44,163
17:19:45,162
17:19:46,162
17:19:47,161
17:19:48,164
17:19:49,164
17:19:50,164
17:19:51,162
17:19:52,162
17:19:53,163
17:19:54,154
17:19:55,154
17:19:56,161
17:19:57,159
17:19:58,159
17:19:59,157
17:20:00,159
17:20:01,159
17:20:02,159
17:20:03,160
