Running for 60.0 seconds (60 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
15:33:36   1.5   0.0   3.7  93.7   1.2    2   2624   2506   10    1    0  50.60 
15:33:37   0.0   0.0   5.0  94.4   0.6    2    995   1535    0    0    0  46.98 
15:33:38   0.1   0.0   4.9  95.0   0.0    2    840   1463    0    0    0  46.74 
15:33:39  23.5   0.0   0.2  76.3   0.0    7   2339   7645  100    0   95 137.01 
15:33:40  29.8   0.0   0.1  70.2   0.0    7   3810  10521  170    0  170 168.32 
15:33:41  29.6   0.0   0.1  70.3   0.0    3   3611  10528  170    0  175 169.47 
15:33:42  29.8   0.0   0.1  70.2   0.0    7   3635  10567  175    0  170 169.50 
15:33:43  29.7   0.0   0.1  70.2   0.0    7   3456  10327  170    0  170 169.49 
15:33:44  29.8   0.0   0.1  70.0   0.2    7   3342  10349  165    0  165 168.17 
15:33:45  29.8   0.0   0.1  70.2   0.0    7   3448  10182  165    0  165 170.51 
15:33:46  29.6   0.0   0.1  70.3   0.0    7   2613   9710  160    0  160 166.06 
15:33:47  29.8   0.0   0.1  70.1   0.0    7   3323  10217  172    0  170 173.08 
15:33:48  29.7   0.0   0.1  70.2   0.0    7   3470  10054  160    0  160 168.78 
15:33:49  29.8   0.0   0.1  70.1   0.0    7   3472  10163  155    0  155 168.32 
15:33:50  29.7   0.0   0.1  70.1   0.1    7   3209   9690  155    0  155 166.62 
15:33:51  28.0   0.0   0.1  71.9   0.0    7   3617  10149  157    2  157 159.66 
15:33:52  29.7   0.0   0.1  70.2   0.0    7   3157  10312  170    0  170 170.08 
15:33:53  29.8   0.0   0.0  70.2   0.0    7   3427  10226  170    0  170 170.90 
15:33:54  29.7   0.0   0.1  70.2   0.0    7   2977   9853  165    0  165 167.68 
15:33:55  29.7   0.0   0.1  70.2   0.0    8   3499   9844  170    0  170 171.05 
15:33:56  29.8   0.0   0.1  70.1   0.1    7   3878  10596  160    0  160 168.38 
15:33:57  29.8   0.0   0.1  70.1   0.1    7   3797  10516  160    0  160 169.68 
15:33:58  29.8   0.0   0.1  70.2   0.0    7   3059   9914  175    0  175 176.57 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
15:33:59  29.7   0.0   0.1  70.2   0.0    7   3029  10259  160    0  160 170.74 
15:34:00  29.8   0.0   0.1  70.1   0.0    7   2607   9541  165    0  165 173.20 
15:34:01  29.7   0.0   0.1  70.2   0.0    7   3114   9766  160    0  160 171.04 
15:34:02  29.7   0.0   0.1  70.1   0.2    7   2654   9578  155    0  155 170.56 
15:34:03  29.8   0.0   0.1  70.1   0.0    7   2956  10114  160    0  160 170.24 
15:34:04  28.5   0.0   0.1  71.5   0.0    2   3549  10504  147    2  152 167.56 
15:34:05  29.6   0.0   0.1  70.3   0.0    7   3616  10145  170    0  165 171.25 
15:34:06  29.8   0.0   0.1  70.1   0.0    7   3608  10276  175    0  175 175.22 
15:34:07  29.7   0.0   0.1  70.2   0.0    7   3262   9841  170    0  170 169.28 
15:34:08  29.7   0.0   0.1  70.2   0.0    7   3311  10040  160    0  160 168.54 
15:34:09  29.8   0.0   0.1  70.2   0.0    7   2945   9905  165    0  165 171.87 
15:34:10  29.7   0.0   0.2  67.8   2.3    7   3759  10267  170    0  170 175.00 
15:34:11  29.7   0.0   0.1  70.2   0.0    8   3185   9740  165    0  165 171.21 
