Running for 60.0 seconds (60 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
15:25:18   2.4   0.0   2.8  94.8   0.0    2   3515   3084   10    1    0  49.73 
15:25:19   0.1   0.0   5.0  95.0   0.0    2   1574   1870    0    0    0  45.47 
15:25:20  27.2   0.0   0.4  72.3   0.0    8    909   7415   30    0   25 187.33 
15:25:21  29.9   0.0   0.1  70.0   0.0    7   1409   8552   65    0   65 172.14 
15:25:22  29.9   0.0   0.0  68.2   1.9    7   1605   8559   65    0   65 173.82 
15:25:23  29.9   0.0   0.1  70.0   0.1    7   1608   8426   70    0   70 173.34 
15:25:24  29.8   0.0   0.0  70.2   0.0    7   1390   8703   68    0   65 173.72 
15:25:25  29.9   0.0   0.1  70.0   0.0    7   1786   8551   65    0   65 174.69 
15:25:26  29.9   0.0   0.1  70.0   0.0    7   1526   8452   70    0   70 174.91 
15:25:27  29.9   0.0   0.1  70.0   0.0    7   1438   8315   65    0   65 175.83 
15:25:28  29.9   0.0   0.0  70.0   0.0    7   1544   8525   65    0   65 175.74 
15:25:29  30.0   0.0   0.0  70.0   0.0    7   1285   8059   65    0   65 175.88 
15:25:30  29.9   0.0   0.0  70.1   0.0    7   1776   8531   70    0   70 175.65 
15:25:31  29.9   0.0   0.1  70.0   0.0    7   1644   8596   65    0   65 177.48 
15:25:32  29.9   0.0   0.1  70.1   0.0    7   1550   8329   65    0   65 175.69 
15:25:33  29.9   0.0   0.0  70.1   0.0    7   1617   8649   65    0   65 175.80 
15:25:34  29.9   0.0   0.0  70.0   0.0    7   1584   8838   65    0   65 176.82 
15:25:35  29.9   0.0   0.1  70.0   0.1    7   1707   8535   65    0   65 174.38 
15:25:36  29.9   0.0   0.0  70.0   0.0    7   1959   8672   65    0   66 176.54 
15:25:37  29.9   0.0   0.0  70.1   0.0    7   1975   8914   65    0   65 174.72 
15:25:38  29.9   0.0   0.0  70.1   0.0    7   1700   8613   65    0   65 175.18 
