Running for 600.0 seconds (600 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
19:25:34   0.0   0.0   0.5  89.8   9.7    1    294    607    0    0    0   4.80 
19:25:35   2.0   0.0   1.1  93.9   3.0    1   3419   2858   12    1    0  29.95 
19:25:36  23.7   0.0   0.2  75.4   0.7    7   8726  13498  410    0  405 126.38 
19:25:37  29.0   0.0   0.3  70.7   0.0    9  10827  16432  555    0  555 153.63 
19:25:38  28.8   0.0   0.3  69.3   1.6    7  10821  16110  540    0  540 153.09 
19:25:39  29.0   0.0   0.3  70.5   0.3    7  10910  16427  530    0  530 156.21 
19:25:40  26.7   0.0   0.4  73.0   0.0    7  10656  16290  503    2  502 145.30 
19:25:41  28.9   0.0   0.3  70.8   0.0    7  11023  16420  560    0  560 156.41 
19:25:42  29.0   0.0   0.3  70.7   0.0    9  10901  16454  540    0  540 156.58 
19:25:43  28.9   0.0   0.3  70.8   0.0    7  11238  16790  525    0  525 154.16 
19:25:44  26.9   0.0   0.3  72.8   0.0    7  10209  15807  483    2  487 145.92 
19:25:45  28.9   0.0   0.4  70.7   0.0    7  11172  17152  560    0  555 155.44 
19:25:46  29.1   0.0   0.1  70.7   0.0    7  10921  16836  550    0  550 155.77 
19:25:47  28.6   0.0   0.4  71.0   0.0    7  10987  16424  525    0  525 151.51 
19:25:48  26.6   0.0   0.3  73.0   0.1    7  10849  15963  507    2  507 143.14 
19:25:49  29.0   0.0   0.2  70.8   0.0    7  10929  16516  555    0  555 155.27 
19:25:50  29.1   0.0   0.3  70.7   0.0    7  11111  16596  535    0  535 156.51 
19:25:51  29.0   0.0   0.3  70.8   0.0    2  10521  16372  525    0  530 155.85 
19:25:52  28.9   0.0   0.3  70.8   0.0    7   9982  15380  515    0  510 153.42 
19:25:53  26.2   0.0   0.6  73.0   0.3    7  10312  16041  502    2  502 142.51 
