Time,CPU_Usage,RAM_Used_MB
07:13:13,6.3,1437
07:13:14,5.3,5251
07:13:15,4.8,9401
07:13:16,30.2,11067
07:13:18,29.9,11068
07:13:19,30,11068
07:13:20,30,11069
07:13:21,30,11066
07:13:22,30,11060
07:13:24,30,11058
07:13:25,30.4,11058
07:13:26,30.3,11054
07:13:27,29.9,11051
07:13:29,30.2,11042
07:13:30,30,11041
07:13:31,29.7,11051
07:13:32,30.2,11044
07:13:33,29.7,11032
07:13:35,30.2,11035
07:13:36,30.2,11039
07:13:37,30.2,11041
07:13:38,30,11045
07:13:40,29.9,11050
07:13:41,30.1,11046
07:13:42,30.4,11046
07:13:43,29.9,11048
07:13:44,30.2,11043
07:13:46,30.5,11040
07:13:47,30.1,11041
07:13:48,29.6,11038
07:13:49,30.5,11030
07:13:51,30,11031
07:13:52,30.2,11031
07:13:53,30.2,11034
07:13:54,30.4,11039
07:13:56,30,11035
07:13:57,30.4,11038
07:13:58,30,11032
07:13:59,30.1,11031
07:14:00,30.2,11026
07:14:02,30,11024
07:14:03,30.2,11022
07:14:04,30.5,11021
07:14:05,30.5,11026
07:14:07,29.7,11026
07:14:08,29.9,11027
07:14:09,29.9,11041
07:14:10,30.7,11045
07:14:11,30,11038
07:14:13,29.8,11039
07:14:14,29.6,11035
07:14:15,29.9,11038
07:14:16,30.7,11039
07:14:18,30.4,11040
07:14:19,29.6,11038
07:14:20,30.6,11032
07:14:21,30.2,11034
07:14:22,29.9,11039
07:14:24,29.7,11039
07:14:25,30.2,11038
07:14:26,30.2,11040
07:14:27,29.8,11040
07:14:29,30.2,11035
07:14:30,30.3,11036
07:14:31,30.2,11037
07:14:32,30,11035
07:14:33,30.2,11036
07:14:35,30,11039
07:14:36,30.5,11042
07:14:37,30,11042
07:14:38,29.7,11040
07:14:40,30.2,11031
07:14:41,30.2,11030
07:14:42,29.9,11030
07:14:43,30.7,11032
07:14:44,29.7,11032
07:14:46,30,11033
07:14:47,30,11035
07:14:48,30.4,11031
07:14:49,29.9,11031
07:14:51,30,11029
07:14:52,30.2,11027
07:14:53,30.2,11026
07:14:54,30.2,11029
07:14:55,30,11029
07:14:57,30.2,11032
07:14:58,30,11031
07:14:59,29.8,11033
07:15:00,30,11031
07:15:02,29.9,11032
07:15:03,30.4,11032
07:15:04,30.4,11033
07:15:05,18.1,11026
07:15:06,29.7,11027
07:15:08,29.8,11027
07:15:09,30,11029
07:15:10,30.2,11030
07:15:11,30,11028
07:15:13,30.3,11028
07:15:14,30.7,11031
07:15:15,30.2,11030
07:15:16,30,11033
07:15:18,20.1,11032
07:15:19,30,11033
07:15:20,30,11034
07:15:21,29.9,11028
07:15:23,29.8,11030
07:15:24,30.2,11031
07:15:25,30.4,11034
07:15:26,29.6,11035
07:15:27,30.2,11035
07:15:29,30.2,11038
07:15:30,29.9,11040
07:15:31,30.5,11036
07:15:32,30,11040
07:15:34,29.9,11040
07:15:35,30.2,11042
07:15:36,29.9,11039
07:15:37,30.2,11040
07:15:38,29.9,11041
07:15:40,29.4,11031
07:15:41,15.6,11034
07:15:42,29.9,11035
07:15:43,30.1,11032
07:15:45,30.2,11036
07:15:46,29.8,11040
07:15:47,30.2,11040
07:15:48,30.5,11038
07:15:50,30.7,11036
07:15:51,30,11037
07:15:52,29.9,11035
07:15:53,30,11032
07:15:54,30,11031
07:15:56,30.2,11033
07:15:57,30.2,11033
07:15:58,30.1,11032
07:15:59,30.4,11031
07:16:01,29.9,11032
07:16:02,30.3,11034
07:16:03,30.1,11029
