Time,CPU_Usage,RAM_Used_MB
16:32:35,8.3,1184
16:32:36,0,3235
16:32:37,29.9,3244
16:32:38,29.8,3236
16:32:40,29.6,3238
16:32:41,30,3241
16:32:42,30,3236
16:32:43,30.3,3241
16:32:45,30,3242
16:32:46,30,3243
16:32:47,30.2,3245
16:32:48,30.5,3236
16:32:49,29.9,3237
16:32:51,29.5,3236
16:32:52,30.2,3238
16:32:53,30.4,3238
16:32:54,29.9,3235
16:32:56,29.2,3231
16:32:57,29.9,3235
16:32:58,30.2,3236
16:32:59,30,3236
16:33:00,29.9,3256
16:33:02,29.8,3252
16:33:03,29.7,3258
16:33:04,29.8,3258
16:33:05,29.9,3259
16:33:07,29.9,3254
16:33:08,30,3250
16:33:09,29.8,3242
16:33:10,29.7,3241
16:33:11,30,3237
16:33:13,30.2,3239
16:33:14,29.5,3231
16:33:15,29.7,3237
16:33:16,30,3241
16:33:18,30.2,3245
16:33:19,29.5,3244
16:33:20,29.9,3247
16:33:21,29.9,3253
16:33:22,30.4,3244
16:33:24,29.9,3247
16:33:25,29.9,3246
16:33:26,29.9,3248
16:33:27,30.4,3246
16:33:29,30.2,3239
16:33:30,29.9,3241
16:33:31,29.8,3238
16:33:32,30.2,3235
16:33:33,29.8,3226
16:33:35,30,3228
16:33:36,29.9,3231
16:33:37,30.2,3230
16:33:38,30.1,3229
16:33:40,30.2,3230
16:33:41,30.4,3231
16:33:42,30.1,3233
16:33:43,30,3234
16:33:44,29.6,3238
