Time,CPU_Usage,RAM_Used_MB
19:06:25,6.3,1284
19:06:26,29.8,1756
19:06:27,30,1766
19:06:28,29.1,1769
19:06:29,29.8,1785
19:06:31,29.7,1789
19:06:32,29.3,1796
19:06:33,29.1,1798
19:06:34,29.1,1801
19:06:36,30.1,1790
19:06:37,29.7,1772
19:06:38,13.4,1789
19:06:39,29.1,1791
19:06:40,29.5,1787
19:06:42,29.6,1787
19:06:43,29.5,1785
19:06:44,29.5,1793
19:06:45,29.7,1786
19:06:47,29.3,1776
19:06:48,29.8,1782
19:06:49,29.2,1778
19:06:50,29.1,1783
19:06:51,30,1772
19:06:53,29.5,1774
19:06:54,29,1767
19:06:55,29.4,1767
19:06:56,29.5,1757
19:06:58,29.5,1763
19:06:59,29.7,1763
19:07:00,29.4,1764
19:07:01,29.8,1769
19:07:02,29.1,1768
19:07:04,29,1763
19:07:05,29.9,1765
19:07:06,29.8,1769
19:07:07,29.9,1761
19:07:09,29.2,1752
19:07:10,29,1745
19:07:11,29.9,1742
19:07:12,28.8,1773
19:07:13,30.1,1780
19:07:15,29.6,1783
19:07:16,29.7,1795
19:07:17,29.7,1785
19:07:18,29.5,1796
19:07:20,29.3,1793
19:07:21,15.3,1784
19:07:22,29.3,1788
19:07:23,29.5,1784
19:07:24,29.3,1780
19:07:26,29.7,1783
19:07:27,30.2,1783
19:07:28,29.6,1786
19:07:29,30.3,1785
19:07:31,30.5,1780
19:07:32,29.7,1780
19:07:33,30.2,1780
19:07:34,29.5,1784
19:07:35,30,1788
19:07:37,29.4,1796
19:07:38,30.3,1804
19:07:39,29.3,1793
19:07:40,29.5,1787
19:07:41,29.5,1789
19:07:43,30,1782
19:07:44,30.1,1779
19:07:45,29.7,1779
19:07:46,30,1779
19:07:48,30.3,1781
19:07:49,29.5,1780
19:07:50,29.4,1779
19:07:51,29.9,1785
19:07:52,29.5,1786
19:07:54,29.3,1784
19:07:55,30,1788
19:07:56,29.1,1791
19:07:57,29.8,1793
19:07:59,29.3,1791
19:08:00,30.3,1790
19:08:01,29.3,1789
19:08:02,29.7,1797
19:08:03,29.7,1801
19:08:05,30,1808
19:08:06,29.9,1815
19:08:07,20.3,1813
19:08:08,29.6,1818
19:08:10,29.2,1807
19:08:11,29.6,1807
19:08:12,29.7,1796
19:08:13,29,1799
19:08:14,30,1809
19:08:16,29.7,1802
19:08:17,30.2,1807
19:08:18,30,1813
19:08:19,30.2,1804
19:08:21,29,1800
19:08:22,29.2,1800
19:08:23,30,1804
19:08:24,29.8,1809
19:08:25,29.7,1810
19:08:27,29.5,1805
19:08:28,30.3,1802
19:08:29,29.8,1814
19:08:30,29.8,1822
19:08:32,30.3,1817
19:08:33,29.9,1811
19:08:34,29.5,1813
19:08:35,10.3,1814
19:08:36,30.1,1811
19:08:38,29.7,1806
19:08:39,29.5,1817
19:08:40,30.2,1818
19:08:41,30.2,1823
19:08:43,24.2,1811
19:08:44,30.1,1813
19:08:45,29.2,1808
19:08:46,29.5,1810
19:08:47,29.7,1804
19:08:49,29.8,1808
19:08:50,29.8,1809
19:08:51,29.3,1813
19:08:52,29.5,1817
19:08:54,29.6,1811
19:08:55,28.9,1808
19:08:56,30.2,1810
19:08:57,29.7,1795
19:08:58,28.8,1793
19:09:00,30.5,1792
19:09:01,30,1801
19:09:02,29.7,1795
19:09:03,30.4,1798
19:09:04,10.2,1798
19:09:06,30.3,1795
19:09:07,29.5,1796
19:09:08,18.3,1798
19:09:09,30,1799
19:09:11,30.3,1806
19:09:12,18.4,1817
19:09:13,30.4,1817
19:09:14,30,1809
19:09:15,29.6,1811
19:09:17,29.5,1823
19:09:18,30,1826
19:09:19,29.9,1829
19:09:20,30,1828
19:09:22,30.2,1826
19:09:23,12.5,1818
19:09:24,30.4,1824
19:09:25,29.7,1818
19:09:26,29.5,1821
19:09:28,29,1820
19:09:29,29.7,1825
19:09:30,30,1832
19:09:31,29.2,1828
19:09:33,29.9,1823
19:09:34,30,1823
19:09:35,29.5,1831
19:09:36,30.1,1830
19:09:37,29.4,1832
19:09:39,29.5,1840
19:09:40,30.2,1833
19:09:41,29.8,1833
19:09:42,30.1,1851
19:09:44,30.5,1853
19:09:45,25.1,1859
19:09:46,30.1,1855
19:09:47,30.2,1863
19:09:48,30.1,1860
19:09:50,29.5,1858
19:09:51,29.9,1849
19:09:52,29.7,1852
19:09:53,30.2,1849
19:09:55,29.9,1847
19:09:56,29.6,1833
19:09:57,29.9,1832
19:09:58,14.2,1833
19:09:59,29.5,1834
19:10:01,29.3,1827
19:10:02,29.5,1831
19:10:03,29,1839
19:10:04,29.5,1834
19:10:06,29.1,1835
19:10:07,29.5,1834
19:10:08,29.7,1833
19:10:09,29.6,1826
19:10:10,30.3,1826
19:10:12,29.5,1836
19:10:13,29.1,1842
19:10:14,29.9,1841
19:10:15,29.4,1839
19:10:17,30,1831
19:10:18,29.5,1837
19:10:19,29.5,1837
19:10:20,29.4,1838
19:10:21,30,1843
19:10:23,29,1847
19:10:24,29.8,1847
19:10:25,30,1846
19:10:26,29.4,1845
19:10:28,29.2,1835
19:10:29,30.4,1833
19:10:30,30.2,1836
19:10:31,29.9,1834
19:10:32,30,1840
19:10:34,30.1,1847
19:10:35,29.6,1845
19:10:36,29.8,1852
19:10:37,29.7,1854
19:10:39,29.5,1855
19:10:40,25,1860
19:10:41,29.8,1860
19:10:42,30,1851
19:10:43,30.2,1848
19:10:45,28.4,1840
19:10:46,29.6,1838
19:10:47,29.5,1836
19:10:48,30.2,1842
19:10:50,30.4,1837
19:10:51,29.3,1834
19:10:52,29.7,1839
19:10:53,30.5,1834
19:10:54,29.5,1838
19:10:56,30.1,1839
19:10:57,10.7,1832
19:10:58,30.4,1828
19:10:59,30,1836
19:11:01,29.5,1829
19:11:02,29.3,1831
19:11:03,30.3,1829
19:11:04,28.8,1817
19:11:05,29.5,1826
19:11:07,29.7,1826
19:11:08,30,1830
19:11:09,30,1830
19:11:10,29.6,1836
19:11:12,29,1843
19:11:13,19.3,1833
19:11:14,29.9,1830
19:11:15,30,1821
19:11:16,30.5,1816
19:11:18,30.2,1828
19:11:19,23.5,1829
19:11:20,30.2,1831
19:11:21,13.1,1832
19:11:22,30.5,1827
19:11:24,29.7,1822
19:11:25,29.4,1851
19:11:26,29.7,1848
19:11:27,29.4,1855
19:11:29,29.4,1854
19:11:30,29.4,1850
19:11:31,30,1848
19:11:32,29.8,1851
19:11:33,29.7,1850
19:11:35,29.7,1861
19:11:36,30.2,1862
