timestamp,model,cpu_temp,ram_used_mb,prefill_tps,decode_tps,prefill_dur_s,decode_dur_s
1783189951,phi3:mini,32.0,1072,31.33,15.90,.829730,40.188019
1783190006,phi3:mini,33.0,4780,391.88,16.23,.066345,28.390119
1783190034,phi3:mini,34.0,4789,457.02,15.97,.056889,38.613233
1783190073,phi3:mini,37.0,4795,455.68,16.02,.057056,33.503456
1783190107,phi3:mini,34.0,4787,486.50,16.11,.053442,30.030429
1783190137,phi3:mini,37.0,4795,438.38,15.89,.059308,34.092905
1783190172,phi3:mini,34.0,4788,466.24,16.34,.055764,29.486720
1783190201,phi3:mini,34.0,4791,478.72,16.62,.054310,24.599399
1783190226,phi3:mini,36.0,4798,455.57,17.08,.057070,19.141673
1783190246,phi3:mini,36.0,4795,409.54,16.88,.063485,23.987808
1783190270,phi3:mini,37.0,4795,442.10,16.62,.058809,23.824181
1783190294,phi3:mini,36.0,4800,446.16,16.15,.058274,29.460944
1783190324,phi3:mini,36.0,4797,426.89,15.66,.060904,44.353432
1783190368,phi3:mini,37.0,4808,470.29,16.34,.055284,28.938507
1783190397,phi3:mini,37.0,4801,451.00,16.07,.057649,30.351388
1783190428,phi3:mini,36.0,4787,426.49,16.66,.060961,19.682038
1783190448,phi3:mini,36.0,4791,404.56,16.95,.064265,19.820597
1783190468,phi3:mini,36.0,4795,478.08,16.61,.054383,26.299770
1783190494,phi3:mini,37.0,4776,439.53,16.35,.059153,29.839651
1783190524,phi3:mini,34.0,4789,393.25,16.12,.066115,31.504622
1783190556,phi3:mini,37.0,4794,458.24,13.88,.056737,100.174437
1783190657,phi3:mini,34.0,4780,426.21,16.18,.061001,31.700491
1783190689,phi3:mini,33.0,4791,483.96,16.37,.053723,28.083097
1783190717,phi3:mini,36.0,4807,462.27,16.26,.056243,31.231203
1783190748,phi3:mini,37.0,4786,464.96,16.11,.055918,27.362150
1783190776,phi3:mini,34.0,4783,481.60,7.57,.053985,2982.497902
1783193761,phi3:mini,34.0,4813,38.56,17.33,.674157,11.885899
1783193774,phi3:mini,34.0,4811,441.78,14.83,.058851,63.586806
1783193838,phi3:mini,36.0,4804,405.80,12.49,.064070,152.280077
1783193991,phi3:mini,34.0,4800,429.93,18.37,.060473,.925036
1783193992,phi3:mini,34.0,4802,436.12,15.96,.059615,33.256077
